date,week,mouse_id,weight_g,condition,cohort
2/23/21,0,13N,16.6,FT,NASH
2/23/21,0,13L,12.5,FT,NASH
2/23/21,0,13R,11.2,FT,NASH
2/23/21,0,14N,15,FT,NASH
2/23/21,0,14L,10.1,FT,NASH
2/23/21,0,14R,12.2,FT,NASH
2/23/21,0,15N,15.2,FT,NASH
2/23/21,0,15L,14,FT,NASH
2/23/21,0,15R,16.3,FT,NASH
2/23/21,0,16N,16.5,FT,NASH
2/23/21,0,16L,13.6,FT,NASH
2/23/21,0,16R,15.1,FT,NASH
2/23/21,0,17N,14.2,FA,NASH
2/23/21,0,17L,12.9,FA,NASH
2/23/21,0,17R,14.3,FA,NASH
2/23/21,0,18N,12.2,FA,NASH
2/23/21,0,18L,16.1,FA,NASH
2/23/21,0,18R,15.6,FA,NASH
2/23/21,0,19N,14.6,FA,NASH
2/23/21,0,19L,15.7,FA,NASH
2/23/21,0,19R,12,FA,NASH
2/23/21,0,20N,13.3,FA,NASH
2/23/21,0,20L,12.1,FA,NASH
2/23/21,0,20R,11.8,FA,NASH
2/23/21,0,21N,14.3,NA,NASH
2/23/21,0,21L,16.1,NA,NASH
2/23/21,0,21R,12.9,NA,NASH
2/23/21,0,22N,15.4,NA,NASH
2/23/21,0,22L,11.4,NA,NASH
2/23/21,0,22R,12,NA,NASH
2/23/21,0,23N,15.5,NA,NASH
2/23/21,0,23L,10.5,NA,NASH
2/23/21,0,23R,13.5,NA,NASH
2/23/21,0,24N,14.5,NA,NASH
2/23/21,0,24L,10.9,NA,NASH
2/23/21,0,24R,13,NA,NASH
3/3/21,1,13N,18.7,FT,NASH
3/3/21,1,13L,14.6,FT,NASH
3/3/21,1,13R,15.5,FT,NASH
3/3/21,1,14N,17.6,FT,NASH
3/3/21,1,14L,13.6,FT,NASH
3/3/21,1,14R,16,FT,NASH
3/3/21,1,15N,18,FT,NASH
3/3/21,1,15L,16.2,FT,NASH
3/3/21,1,15R,18.8,FT,NASH
3/3/21,1,16N,18.6,FT,NASH
3/3/21,1,16L,16.4,FT,NASH
3/3/21,1,16R,18.3,FT,NASH
