mouse_id	condition	Labelling	ZT	Liver TG concentration (mg/g)
13N	FT	FT-13N	ZT1	41.42637271
13L	FT	FT-13L	ZT1	50.9233612
13R	FT	FT-13R	ZT13	29.78577022
14N	FT	FT-14N	ZT1	25.08901915
14L	FT	FT-14L	ZT13	27.25888416
14R	FT	FT-14R	ZT13	29.82857544
15N	FT	FT-15N	ZT13	36.23824911
15L	FT	FT-15L	ZT13	34.32547882
15R	FT	FT-15R	ZT1	43.1786172
16N	FT	FT-16N	ZT1	42.39046066
16L	FT	FT-16L	ZT1	40.87326429
16R	FT	FT-16R	ZT13	30.00153839
17N	FA	FA-17N	ZT13	64.03326252
17L	FA	FA-17L	ZT13	40.11535717
17R	FA	FA-17R	ZT1	59.24832092
18N	FA	FA-18N	ZT1	46.67991287
18L	FA	FA-18L	ZT13	59.935026
18R	FA	FA-18R	ZT1	31.47634539
19N	FA	FA-19N	ZT1	57.63742605
19L	FA	FA-19L	ZT13	34.39665867
19R	FA	FA-19R	ZT1	61.75049964
20N	FA	FA-20N	ZT13	43.68203758
20L	FA	FA-20L	ZT13	64.41675846
20R	FA	FA-20R	ZT1	57.64404118
21N	NA	NA-21N	ZT1	6.026514204
21L	NA	NA-21L	ZT13	6.611756718
21R	NA	NA-21R	ZT13	5.257747835
22N	NA	NA-22N	ZT1	8.06738181
22L	NA	NA-22L	ZT13	11.88650764
22R	NA	NA-22R	ZT1	7.022480267
23N	NA	NA-23N	ZT13	7.200585085
23L	NA	NA-23L	ZT1	8.412746039
23R	NA	NA-23R	ZT13	7.750215276
24N	NA	NA-24N	ZT1	8.729733938
24L	NA	NA-24L	ZT13	16.33641456
24R	NA	NA-24R	ZT1	6.234548849
