DateTime,DurationMin,Animal,VO2_M,VCO2_M,VH2O_M,kcal_hr_M,RER_M,FoodInA_M,WaterInA_M,BodyMass_Mnz,PedSpeed_Mnz,PedMeters_M,PedMeters_R,AllMeters_M,AllMeters_R,XBreak_R,YBreak_R,EnviroTemp_M,EnviroRH_M,EnviroBP_M,EnviroLightlux_M,EnviroOccupancy_M,EnviroSound_M,Still_pct_M,Sleep_pct_M
2021/03/03 22:37:33,60,1,1.820338,1.24555,0.2339478,0.5130917,0.6855619,0,0.01567987,24.31,0.01595147,15.40569,28.64895,16.39898,30.68085,3210,3414,23.92311,56.17216,100.653,143.9114,12.08894,8488.896,48.63889,5.916667
2021/03/03 23:37:33,60,1,1.500218,1.019638,0.224081,0.4224048,0.9511449,0,0.05758582,24.10966,0.01443771,32.52518,7.430187,34.90912,8.055326,878,898,23.9684,54.66814,100.7261,143.8917,11.83402,8504.384,85.66666,78.61111
2021/03/04 00:37:33,60,1,1.554917,1.051977,0.1821209,0.4374849,0.6736212,0,0.1322744,24.06704,0.01526564,41.2201,14.62981,44.32531,15.85802,1756,1943,23.82709,54.60356,100.7686,55.01167,11.81228,8416.894,65.13889,39.30556
2021/03/04 01:37:33,60,1,1.353237,0.8911935,0.1521138,0.379126,0.6555309,0,0.2118531,23.97316,0.0198249,51.09927,1.328938,55.04013,1.463936,144,157,23.47668,55.11605,100.8232,0,11.80358,8338.788,97.33334,94.61111
2021/03/04 02:37:33,60,1,1.526733,1.032893,0.1520407,0.429554,0.6735585,0,0.2430803,23.89004,0.01540411,59.153,10.11346,63.71996,10.97773,1136,1238,23.44514,54.638,100.881,0,11.82317,8488.234,78.97222,60.25
2021/03/04 03:37:33,60,1,1.223478,0.7982671,0.1289921,0.3422766,0.6524513,0,0.2490541,23.82831,0.01572578,62.23325,0.5688553,67.12275,0.6046066,41,57,23.44447,54.07124,100.9287,0,11.79322,8981.536,99.05556,98.69444
2021/03/04 04:37:33,60,1,1.094841,0.7400168,0.09525027,0.3079937,0.676879,0,0.2490541,23.79539,0,62.7202,0,67.64047,0,0,0,23.45746,54.62315,100.9911,0,11.82248,8699.384,100,100
2021/03/04 05:37:33,60,1,1.107866,0.7603678,0.08134484,0.312424,0.6863704,0,0.2490541,23.7634,0.01557732,63.08011,0.7178955,68.02063,0.8010483,83,87,23.44922,54.66188,101.0574,0,11.80279,8440.648,98.22222,96.02778
2021/03/04 06:37:33,60,1,1.434743,0.9782625,0.117823,0.4041769,0.6808248,0,0.3145289,23.65463,0.01448659,67.59452,5.508518,73.16986,6.241112,824,905,23.44255,54.65582,101.1183,0,11.81815,8126.829,84.88889,68.16666
2021/03/04 07:37:33,60,1,1.185325,0.8148857,0.1105045,0.3343576,0.6858624,0,0.3332524,23.58872,0.01643478,69.37878,1.640854,75.13835,1.735977,150,180,23.4495,54.15782,101.1684,0,11.82644,8334.902,97.69444,95.75
