condition	zt_time_binned	mn_MotorAct	groups
FT	21	1.190990078125	a
FA	21	1.16951362916667	ab
NA	1	1.10366270833333	ab
FA	13	1.0405902125	abc
FT	17	1.037139515625	abc
NA	17	1.01678883333333	abc
FA	17	0.985125583333333	abc
NA	21	0.865119291666667	abcd
FT	1	0.83270289375	bcd
FT	13	0.8063117059375	bcd
FA	1	0.788610183333334	bcde
FA	5	0.753923930555557	bcde
FA	9	0.635396120833333	bcde
FT	5	0.630701471145833	cde
NA	13	0.6043133125	cde
NA	5	0.427481530555556	de
NA	9	0.386170229166667	de
FT	9	0.35388726434375	e
