FeatureID	ratio	min	max	label_name	cat
5478	-8.35014504575001	-14.9454	-3.14019	mtb  5478  m/z  349.23 	Non-MAFLD
6643	-7.7000309315	-13.2438	-2.21759	mtb  6643  m/z  339.29 	Non-MAFLD
6791	-7.62372251734999	-13.7921	-2.03579	mtb  6791  m/z  779.54 	Non-MAFLD
6245	-7.46732105572999	-13.3226	-1.46412	mtb  6245  m/z  297.28 Suspect related to NCGC00385642-01!1,4-dihydroxyheptadec-16-en-2-yl acetate  	Non-MAFLD
6793	-7.401959673325	-13.2814	-1.60962	mtb  6793  m/z  319.26 	Non-MAFLD
6775	-7.36050554455001	-12.822	-1.32333	mtb  6775  m/z  361.27 	Non-MAFLD
6860	-7.29881717330001	-13.1185	-2.12987	mtb  6860  m/z  377.27 	Non-MAFLD
7040	-7.20449828900001	-13.0394	-0.979445	mtb  7040  m/z  785.58 	Non-MAFLD
7212	-7.20170310059999	-14.4096	-1.38767	mtb  7212  m/z  403.28 	Non-MAFLD
5491	-7.2016905159	-14.2184	-0.0634947	mtb  5491  m/z  327.25 Suspect related to Spectral Match to Monolinolenin (9c,12c,15c) from NIST14  	Non-MAFLD
4719	-7.16182447235	-13.2801	-0.651208	mtb  4719  m/z  593.26 	Non-MAFLD
6640	-7.0968304394	-13.0931	-1.19704	mtb  6640  m/z  317.3 Suspect related to Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14  	Non-MAFLD
6861	-7.0197919153	-12.137	-1.02136	mtb  6861  m/z  305.28 	Non-MAFLD
6397	-6.9856809375	-13.4945	-0.986898	mtb  6397  m/z  305.28 	Non-MAFLD
6407	-6.8837972008	-13.602	-1.61157	mtb  6407  m/z  264.23 	Non-MAFLD
5709	-6.85005419440001	-12.6642	-1.22369	mtb  5709  m/z  342.21 	Non-MAFLD
7256	-6.84787792805	-13.0366	-0.847737	mtb  7256  m/z  413.38 	Non-MAFLD
4955	-6.79643370909999	-12.7909	-0.0240343	mtb  4955  m/z  285.24 Suspect related to NCGC00385642-01!1,4-dihydroxyheptadec-16-en-2-yl acetate  	Non-MAFLD
7031	-6.68470928595001	-12.9675	-0.47682	mtb  7031  m/z  398.33 	Non-MAFLD
7430	-6.64755993124501	-12.4904	-1.033	mtb  7430  m/z  613.44 	Non-MAFLD
6987	-6.618020930415	-12.4395	-0.166909	mtb  6987  m/z  359.3 Suspect related to 13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid  	Non-MAFLD
6833	-6.53353810545001	-12.2318	-1.07066	mtb  6833  m/z  752.45 	Non-MAFLD
7560	-6.48607108858001	-13.5204	-0.571942	mtb  7560  m/z  615.46 	Non-MAFLD
6785	-6.46780613419999	-13.1104	-0.345392	mtb  6785  m/z  218.11 	Non-MAFLD
6688	-6.445043230095	-13.0627	-0.0571088	mtb  6688  m/z  375.25 	Non-MAFLD
7572	-6.43111349960001	-12.296	-1.14788	mtb  7572  m/z  359.29 Suspect related to (R)-4-((3S,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid  	Non-MAFLD
6391	-6.35530521384999	-13.2032	-0.453579	mtb  6391  m/z  287.27 	Non-MAFLD
5261	-6.34765640064999	-12.4405	-0.531071	mtb  5261  m/z  326.18 	Non-MAFLD
8555	-6.33822795834999	-12.1253	-1.63909	mtb  8555  m/z  590.48 	Non-MAFLD
4596	-6.32769120790001	-11.831	-0.567784	mtb  4596  m/z  544.31 	Non-MAFLD
1382	-6.086722139318	-12.4096	-0.140237	mtb  1382  m/z  319.15 	Non-MAFLD
7523	-6.01072185209999	-12.1765	-0.12469	mtb  7523  m/z  445.29 	Non-MAFLD
2989	-5.99065375764998	-12.2541	-0.629036	mtb  2989  m/z  271.06 	Non-MAFLD
6389	-5.975329176135	-12.2741	-0.426416	mtb  6389  m/z  639.56 	Non-MAFLD
8136	-5.85102621493	-11.5818	-0.646278	mtb  8136  m/z  718.58 Suspect related to Spectral Match to 1,2-Dihexadecanoyl-sn-glycero-3-phosphocholine from NIST14  	Non-MAFLD
6730	-3.30535595976	-5.88764	-0.513933	mtb  6730  m/z  419.32 	Non-MAFLD
4513	-2.18015294821	-3.9712	-0.0309487	mtb  4513  m/z  370.2 	Non-MAFLD
5358	-2.156068631885	-4.26553	-0.0973172	mtb  5358  m/z  224.2 	Non-MAFLD
7128	-2.10365759001	-3.64536	-0.538716	mtb  7128  m/z  736.46 	Non-MAFLD
2925	-2.04694643167	-3.61653	-0.417172	mtb  2925  m/z  243.09 lumichrome CollisionEnergy:205060 	Non-MAFLD
6349	-1.96963724813	-3.53751	-0.102865	mtb  6349  m/z  485.36 	Non-MAFLD
4716	-1.90937317683	-3.47934	-0.15058	mtb  4716  m/z  308.13 	Non-MAFLD
51	-1.79197106428	-3.7536	-0.0443716	mtb  51  m/z  144 	Non-MAFLD
4409	-1.7214450329	-3.07666	-0.185634	mtb  4409  m/z  370.2 	Non-MAFLD
4714	-1.71228165418	-2.82988	-0.615033	mtb  4714  m/z  286.14 Massbank:PR301779 Piperine 	Non-MAFLD
6283	-1.64751256478	-3.05942	-0.0486713	mtb  6283  m/z  427.36 	Non-MAFLD
7549	-1.58172724828	-2.80781	-0.269404	mtb  7549  m/z  283.26 	Non-MAFLD
7682	-1.55788670975	-2.99145	-0.0310074	mtb  7682  m/z  447.38 	Non-MAFLD
6619	-1.480891081495	-2.48504	-0.404179	mtb  6619  m/z  301.21 Alitretinoin CollisionEnergy:102040 	Non-MAFLD
6387	-1.33514724175	-2.47675	-0.146639	mtb  6387  m/z  445.37 	Non-MAFLD
7627	-1.311939182635	-2.42118	-0.333456	mtb  7627  m/z  165.09 	Non-MAFLD
7462	-1.2992192924	-2.4682	-0.184796	mtb  7462  m/z  459.35 	Non-MAFLD
6604	-1.27395455305	-2.02771	-0.564602	mtb  6604  m/z  279.23 Suspect related to Spectral Match to cis-8,11,14-Eicosatrienoic acid from NIST14  	Non-MAFLD
7658	-1.2355482106775	-2.14899	-0.275723	mtb  7658  m/z  429.37 Suspect related to Spectral Match to (+)-.alpha.-Tocopherol from NIST14  	Non-MAFLD
3473	-1.222484485345	-1.93158	-0.478163	mtb  3473  m/z  593.33 Suspect related to Spectral Match to Urobilin from NIST14  	Non-MAFLD
511	-1.200638240205	-2.23247	-0.031542	mtb  511  m/z  144 	Non-MAFLD
7671	-1.18562393362	-2.42425	-0.0232739	mtb  7671  m/z  446.37 	Non-MAFLD
7656	-1.09155508942	-2.17542	-0.138708	mtb  7656  m/z  445.37 	Non-MAFLD
7817	-0.613061688732999	-1.11518	-0.107908	mtb  7817  m/z  338.34 Spectral Match to 13-Docosenamide, (Z)- from NIST14 	Non-MAFLD
189	-0.562138234795	-1.11045	-0.00638938	mtb  189  m/z  922.01 	Non-MAFLD
4942	-0.52725527898	-1.05788	-0.00708992	mtb  4942  m/z  195.1 	Non-MAFLD
5244	-0.510506241639999	-0.97465	-0.00513141	mtb  5244  m/z  131.97 	Non-MAFLD
7704	-0.5061144502925	-0.968783	-0.0552945	mtb  7704  m/z  267.27 	Non-MAFLD
7699	-0.490177345235	-0.912067	-0.0513637	mtb  7699  m/z  285.28 Suspect related to Spectral Match to Isomyristic acid from NIST14  	Non-MAFLD
6889	-0.4827335490245	-0.989371	-0.0228674	mtb  6889  m/z  108.52 	Non-MAFLD
5908	-0.4779195057478	-0.948646	-0.011534	mtb  5908  m/z  258.16 	Non-MAFLD
4334	-0.471010863666	-0.921385	-0.00239701	mtb  4334  m/z  255.16 	Non-MAFLD
8194	-0.430713869604	-0.844289	-0.0480044	mtb  8194  m/z  124.09 	Non-MAFLD
263	0.86270848825	0.224984	1.51265	mtb  263  m/z  231.17 Spectral Match to Leu-Val from NIST14 	MAFLD
3064	0.920664734400001	0.0874502	1.7606	mtb  3064  m/z  611.35 	MAFLD
2549	0.964625504489999	0.207606	1.78835	mtb  2549  m/z  653.34 	MAFLD
2772	0.988679794022	0.00882054	1.99951	mtb  2772  m/z  785.41 	MAFLD
2473	0.993502141335	0.239585	1.7998	mtb  2473  m/z  609.31 	MAFLD
2636	1.0278082272215	0.207283	1.96848	mtb  2636  m/z  697.36 	MAFLD
3767	1.059389679955	0.0171792	2.20181	mtb  3767  m/z  229.14 	MAFLD
2628	1.072963255477	0.0935681	2.17101	mtb  2628  m/z  338.19 	MAFLD
2712	1.08334219771	0.19724	2.06672	mtb  2712  m/z  741.39 	MAFLD
2395	1.12925748995	0.327359	1.97039	mtb  2395  m/z  565.28 	MAFLD
2644	1.143034199565	0.0112668	2.21095	mtb  2644  m/z  692.41 	MAFLD
2481	1.1445532384	0.103207	2.13186	mtb  2481  m/z  604.35 	MAFLD
4755	1.14901352275	0.0463635	2.41996	mtb  4755  m/z  785.59 Suspect related to (4R)-4-((3R,5R,8R,9S,10S,12S,13R,17R)-12-hydroxy-10,13-dimethyl-3-(sulfooxy)hexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid  	MAFLD
2557	1.1527617130895	0.064709	2.33755	mtb  2557  m/z  648.38 	MAFLD
2716	1.192535085605	0.281373	2.22891	mtb  2716  m/z  360.21 	MAFLD
2344	1.218302346165	0.121563	2.26495	mtb  2344  m/z  208.1 N-ACETYL-L-PHENYLALANINE - 20.0 eV 	MAFLD
3057	1.25045306063	0.423897	2.15245	mtb  3057  m/z  611.35 	MAFLD
