row ID	TW.AE.002	TW.AF.001	TW.AG.002	TW.AI.001	TW.AK.001	TW.AM.001	TW.AN.001	TW.AO.001	TW.AP.002	TW.AQ.001	TW.AR.001	TW.AT.001	TW.AU.001	TW.AV.001	TW.AW.001	TW.AX.001	TW.AY.001	TW.AZ.002	TW.BA.002	TW.BD.002	TW.BE.002	TW.BG.001	TW.BI.001	TW.BJ.002	TW.BK.001	TW.BL.002	TW.BM.002	TW.BN.001	TW.BO.001	TW.BQ.001	TW.BS.002	TW.BT.001	TW.BU.002	TW.BV.001	TW.BZ.002	TW.CA.001	TW.CB.002	TW.CC.001	TW.CE.001	TW.CF.001	TW.CG.001	TW.CH.001	TW.CI.002	TW.CK.001	TW.CN.002	TW.CO.001	TW.CP.001	TW.CQ.001	TW.CS.002	TW.CT.001	TW.CU.002	TW.CV.001	TW.CW.001	TW.CY.001	TW.CZ.001	TW.DA.002	TW.DB.001	TW.DG.001	TW.DI.002	TW.DJ.001	TW.DK.002	TW.DM.002	TW.DP.002	TW.DQ.001	TW.DR.001	TW.DS.002	TW.DU.002	TW.DX.001	TW.DY.002	TW.DZ.001	TW.EE.001	TW.EH.002
1538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2267447	0	4.4627347	0	0	0	0	0	0	0	0	0	0	0	0	0
1311	0	0	0	0	0	0	0	0	0	0	0	0	0	139.97072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.553394	0	0	0	0	0	0	0	0	0	0	0	26.328724	0
237	0	7.5568175	0	0	0	6.069371	0	48.62147	5.5631256	0	0	0	6.124302	444.75867	6.1625333	6.9448423	0	6.7659063	7.680966	5.3769107	0	0	6.14563	0	6.4208307	5.7994175	0	0	0	8.512154	4.127198	0	6.4945354	0	0	0	4.976391	0	0	0	141.0399	0	0	0	0	6.999988	6.8206625	0	28.386826	16.725441	25.249683	5.1922503	4.7594986	31.838453	0	8.174709	14.698702	11.75789	15.29065	42.207924	511.48428	6.154686	178.39992	10.381137	304.46988	6.8010864	44.046284	8.224167	29.262926	0	8.774605	8.707337
851	28.206528	16.46576	0	161.59192	0	0	0	0	0	0	134.82872	169.06088	8.267492	991.7541	0	0	263.07556	0	0	0	0	0	0	0	0	0	0	0	277.25272	0	0	350.90054	0	0	0	57.78526	0	0	0	238.7292	317.57745	154.33159	36.34551	78.99184	0	36.580322	43.314777	13.655214	0	0	159.61458	0	0	140.81259	4.732071	39.03949	59.00768	0	187.18297	0	15.852239	0	0	0	179.58	41.099174	0	5.9944124	62.96891	0	0	0
3969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	554.5971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8678	112.69925	59.08771	43.08229	62.056427	25.211596	178.42564	0	0	81.66643	158.85666	0	0	44.960335	0	40.193085	62.899693	0	151.50879	86.55501	58.04962	154.30548	171.0551	0	3.9850736	86.15721	0	40.138206	65.40027	0	108.30174	51.867992	86.1541	22.25778	91.430786	96.34933	133.3344	0	52.5733	98.02906	175.68863	36.489628	0	119.07876	0	36.37636	0	0	225.68797	0	0	119.903885	0	0	0	64.185776	140.15788	64.78613	18.506489	77.34363	0	0	0	5.8789067	0	0	0	0	246.77742	0	0	0	30.403694
685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183.2588	0	0
2696	54.82073	77.51153	65.1902	119.44792	68.476974	16.530533	47.03749	0	0	0	90.00975	103.21113	39.639145	272.35995	0	7.4845843	73.535576	35.58793	0	0	0	0	9.007907	71.315254	23.3214	49.292477	39.16574	0	108.88841	14.414115	10.091467	0	30.71846	59.253048	0	55.873817	11.097297	16.114357	252.72546	87.23264	270.23563	180.84532	305.64026	102.38233	201.34207	45.32985	51.28457	72.47686	219.72418	0	486.5097	0	28.930092	40.621174	195.30016	0	233.53691	0	277.61044	110.04111	94.95297	0	0	0	195.80782	46.101337	33.65255	52.439735	41.331184	72.74585	112.48959	44.00938
563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	657.71014	0	0
