row ID	TW.AE.002	TW.AF.001	TW.AG.002	TW.AI.001	TW.AK.001	TW.AM.001	TW.AN.001	TW.AO.001	TW.AP.002	TW.AQ.001	TW.AR.001	TW.AT.001	TW.AU.001	TW.AV.001	TW.AW.001	TW.AX.001	TW.AY.001	TW.AZ.002	TW.BA.002	TW.BD.002	TW.BE.002	TW.BG.001	TW.BI.001	TW.BJ.002	TW.BK.001	TW.BL.002	TW.BM.002	TW.BN.001	TW.BO.001	TW.BQ.001	TW.BS.002	TW.BT.001	TW.BU.002	TW.BV.001	TW.BZ.002	TW.CA.001	TW.CB.002	TW.CC.001	TW.CE.001	TW.CF.001	TW.CG.001	TW.CH.001	TW.CI.002	TW.CK.001	TW.CN.002	TW.CO.001	TW.CP.001	TW.CQ.001	TW.CS.002	TW.CT.001	TW.CU.002	TW.CV.001	TW.CW.001	TW.CY.001	TW.CZ.001	TW.DA.002	TW.DB.001	TW.DG.001	TW.DI.002	TW.DJ.001	TW.DK.002	TW.DM.002	TW.DP.002	TW.DQ.001	TW.DR.001	TW.DS.002	TW.DU.002	TW.DX.001	TW.DY.002	TW.DZ.001	TW.EE.001	TW.EH.002
94	0	0	0	0	81.97843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.44851	46.676285	0	0	7.479477	8.668092	8.059139	0	0	0	0	0	63.20666	0	0	0	0	0	0	0	0	331.9678	0	0	22.91818	0	0	56.214928	0	0	79.95715	0	18.966131	0	0	0	0	0	0	0	217.18935	0	70.86465	0	81.004074	398.05872	0	0	0	18.190006	0	0	0
383	0	0	0	0	493.38705	0	0	0	0	0	0	0	0	114.20976	193.9609	0	147.88213	0	0	0	0	0	0	0	0	6.5104914	0	72.93116	0	0	0	345.1222	0	253.23315	0	113.34717	108.190674	0	0	0	0	0	0	0	3394.902	6.700038	38.82407	0	65.9006	0	4840.0366	0	96.05928	0	0	0	0	0	19.653967	80.803085	0	34.624893	0	0	0	0	0	193.19565	0	0	0	1765.0331
2890	0	0	33.054016	0	0	0	48.90367	0	0	0	0	28.09843	36.088097	0	47.417217	10.393202	14.055977	13.943338	35.249756	31.929976	0	0	0	62.069954	23.702774	0	121.77292	50.83086	154.64102	16.69601	13.746494	0	29.020292	19.650114	57.85492	7.768854	0	0	0	0	11.412956	0	0	0	0	0	36.075832	31.88741	0	0	0	0	39.40487	0	0	0	0	7.4379544	0	0	72.610466	0	0	0	8.279434	0	0	0	0	0	0	0
1819	71.52896	279.3015	138.59752	208.83798	0	0	703.46277	0	48.57295	40.297653	698.02216	200.3133	247.20499	808.2008	544.58405	0	248.91122	167.48898	67.67238	288.68234	40.643497	4.7449346	0	96.27156	54.45584	122.6995	395.5654	85.08643	331.9447	12.364008	24.313677	112.84822	17.175749	8.486942	138.08107	133.84157	0	120.53071	0	239.36104	394.83667	38.42624	23.658752	37.420364	0	15.963901	47.412926	144.7513	0	0	18.41655	0	48.96691	302.77026	0	59.49367	191.08704	101.86408	0	22.683632	64.18546	19.690887	4.6073527	0	31.244116	61.362785	0	27.255602	0	69.22933	308.69244	0
2339	0	122.0696	7.448637	592.5713	13.471006	0	85.99019	0	0	0	29.230896	217.5545	0	63.975723	0	0	129.11844	0	0	65.71875	257.79538	0	60.921017	0	9.130252	34.835762	17.606655	0	27.522917	39.805424	0	8.868753	0	150.71422	97.45581	64.795944	0	32.62073	104.622086	65.32894	197.60413	59.427773	0	35.9981	11.144674	39.67757	72.983154	18.749987	199.12643	34.52198	13.838545	14.368492	16.254532	105.341576	102.04822	0	139.47498	0	12.301229	58.412895	47.10189	0	0	33.400322	0	18.182144	162.62506	0	17.287067	117.3561	33.88117	0
2201	8.271366	0	0	0	0	0	9.788239	0	6.0233445	0	0	0	0	0	24.932346	0	11.559101	0	0	0	0	0	0	0	209.42833	0	0	16.400593	0	0	0	0	0	0	23.68198	10.531214	0	0	0	44.0376	0	0	19.175346	0	22.661728	0	0	0	0	0	0	21.515823	0	0	0	0	42.400833	0	36.526566	13.821711	0	0	0	0	0	0	0	11.555809	0	56.766094	0	0
755	53.34736	731.0767	98.459984	516.99225	337.53094	0	1051.3647	5.73175	0	0	2280.8315	353.3513	42.053192	151.27779	21.140219	75.516785	1472.831	0	201.4407	80.06679	0	0	0	121.61979	17.476086	4.7868834	731.0862	100.04979	1371.335	4.9881926	0	1249.2227	174.11124	0	134.20282	422.00275	0	591.67456	542.86957	454.67673	1103.5721	1137.6738	221.4577	113.71482	381.2722	188.77293	30.856081	371.18408	54.21057	5.154107	690.3683	0	0	419.94943	134.93579	439.31943	1372.7734	0	78.55024	976.9115	1344.8962	40.621532	6.251664	0	38.43209	133.00844	213.31038	1168.4563	1094.9095	0	265.13388	203.14256
2251	0	155.28862	8.462357	802.3254	30.181513	0	131.80435	0	0	0	76.267204	264.27274	0	111.201294	0	0	171.40825	0	0	82.69288	8.029165	3.944006	75.676216	0	10.354503	39.1012	24.887426	0	31.505104	46.882736	0	10.483923	0	185.62262	105.09386	92.062584	0	50.527973	137.29422	88.07849	240.95483	62.812935	0	44.153526	0	63.11589	88.268845	13.192844	262.99484	45.266273	16.171873	17.93858	16.211351	144.54181	124.1882	0	188.65132	10.08097	24.223047	50.63279	72.787674	8.822095	0	40.914604	0	21.304146	217.54276	0	19.59499	142.2318	40.377678	0
4499	256.31064	42.945206	3172.6006	33.927895	22.257572	48.94439	289.35037	38.358143	290.62097	56.95111	279.87686	67.72405	225.28413	356.5552	31.302399	258.4079	180.81386	60.54328	378.48965	52.493187	32.994076	39.58219	87.75574	43.41002	42.913242	58.578983	49.377525	81.03965	137.12772	50.089214	331.31415	26.686132	97.42369	45.70343	216.25092	48.27644	48.739075	47.723797	38.533646	39.76898	24.567291	454.93692	36.815857	104.10922	29.989029	44.050255	31.097775	46.410824	0	54.193394	51.280132	32.68867	99.146255	145.4882	7.8892655	43.699364	43.558475	4.9862723	11.402883	13.379236	29.467175	20.56775	0	27.687698	0	26.96137	18.630625	16.70348	9.421571	15.88254	7.4378815	10.983965
2357	0	140.27753	0	356.2514	22.868732	0	39.50353	0	0	15.923442	40.363113	139.66351	0	56.11035	0	0	41.988293	0	0	81.17247	0	4.9880075	86.711845	0	7.493002	37.66728	17.01679	0	0	50.092785	0	16.18704	0	130.08656	67.664925	52.27275	0	60.512306	144.02373	31.480927	169.2103	50.02135	0	49.313576	0	45.59153	96.41191	9.773564	223.33987	61.085083	18.13818	27.05892	17.498295	107.82264	124.80327	0	126.16942	9.4923	30.16401	60.26985	57.799515	12.929602	0	63.139854	0	22.337519	245.90997	0	7.362565	119.80507	28.793966	0
