Dataset	Frequency	Scan
MSV000079598	1	1974
MSV000080183	32	1974
MSV000080558	1	1974
MSV000080574	7	1974
MSV000080629	10	1974
MSV000080630	6	1974
MSV000080918	1	1974
MSV000080976	113	1974
MSV000081080	4	1974
MSV000081151	24	1974
MSV000081152	1	1974
MSV000081343	3	1974
MSV000081482	7	1974
MSV000081486	3	1974
MSV000082268	4	1974
MSV000082428	6	1974
MSV000082582	2	1974
MSV000082608	104	1974
MSV000082616	5	1974
MSV000082618	2	1974
MSV000082650	28	1974
MSV000082973	12	1974
MSV000083073	57	1974
MSV000083083	7	1974
MSV000083302	20	1974
MSV000083475	2	1974
MSV000083647	8	1974
MSV000084020	19	1974
MSV000084314	11	1974
MSV000085142	2	1974
MSV000085446	1	1974
MSV000087612	2	1974
MSV000088137	2	1974
MSV000088646	2	1974
MSV000080574	1	3624
MSV000080630	7	3624
MSV000081151	6	3624
MSV000081477	1	3624
MSV000078960	4	3870
MSV000079134	1	3870
MSV000079820	2	3870
MSV000080050	1	3870
MSV000080142	88	3870
MSV000080183	5	3870
MSV000080251	584	3870
MSV000080286	2	3870
MSV000080287	2	3870
MSV000080288	2	3870
MSV000080289	2	3870
MSV000080290	2	3870
MSV000080291	2	3870
MSV000080292	2	3870
MSV000080299	1	3870
MSV000080558	4	3870
MSV000080559	1	3870
MSV000080895	25	3870
MSV000080898	28	3870
MSV000080918	4	3870
MSV000080922	275	3870
MSV000081063	24	3870
MSV000081107	2	3870
MSV000081116	11	3870
MSV000081326	13	3870
MSV000081381	10	3870
MSV000081482	3	3870
MSV000081657	3	3870
MSV000081681	1	3870
MSV000081682	1	3870
MSV000081777	354	3870
MSV000081778	1	3870
MSV000081780	84	3870
MSV000081936	1	3870
MSV000081949	10	3870
MSV000082045	544	3870
MSV000082072	1	3870
MSV000082074	7	3870
MSV000082081	10	3870
MSV000082131	88	3870
MSV000082221	1	3870
MSV000082268	3	3870
MSV000082369	3	3870
MSV000082377	1	3870
MSV000082379	69	3870
MSV000082384	6	3870
MSV000082385	9	3870
MSV000082402	69	3870
MSV000082481	251	3870
MSV000082802	130	3870
MSV000082813	2	3870
MSV000082972	2	3870
MSV000083010	7	3870
MSV000083040	1	3870
MSV000083077	1	3870
MSV000083183	1	3870
MSV000083263	10	3870
MSV000083359	10	3870
MSV000083378	57	3870
MSV000083395	1	3870
MSV000083462	1	3870
MSV000083463	2	3870
MSV000083500	6	3870
MSV000083584	1	3870
MSV000083610	21	3870
MSV000083660	2	3870
MSV000083666	1	3870
MSV000083766	22	3870
MSV000083773	22	3870
MSV000083835	4	3870
MSV000083956	348	3870
MSV000084314	38	3870
MSV000084475	244	3870
MSV000084673	46	3870
MSV000084680	95	3870
MSV000084701	186	3870
MSV000084884	1	3870
MSV000084900	7	3870
MSV000084945	8	3870
MSV000084951	22	3870
MSV000085018	1	3870
MSV000085024	1	3870
MSV000085417	33	3870
MSV000085975	4	3870
MSV000086230	104	3870
MSV000086428	6	3870
MSV000086455	36	3870
MSV000086550	890	3870
MSV000086639	146	3870
MSV000086673	28	3870
MSV000086721	6	3870
MSV000086821	176	3870
MSV000086884	1	3870
MSV000087130	369	3870
MSV000087685	171	3870
MSV000087793	2	3870
MSV000087904	44	3870
MSV000087997	3	3870
MSV000088693	4	3870
MSV000088745	5	3870
MSV000089653	21	3870
MSV000089835	9	3870
MSV000089837	18	3870
MSV000079329	22	2691
MSV000079598	1	2691
MSV000080183	139	2691
MSV000080469	1	2691
MSV000080558	47	2691
MSV000080574	3	2691
MSV000080628	54	2691
MSV000080629	64	2691
MSV000080630	26	2691
MSV000080905	3	2691
MSV000080918	47	2691
MSV000080976	2	2691
MSV000081080	1	2691
MSV000081151	92	2691
MSV000081326	10	2691
MSV000081343	14	2691
MSV000081344	19	2691
MSV000081351	16	2691
MSV000081354	5	2691
MSV000081477	45	2691
MSV000081482	43	2691
MSV000081486	1	2691
MSV000082049	7	2691
MSV000082074	1	2691
MSV000082268	11	2691
MSV000082480	18	2691
MSV000082582	13	2691
MSV000082647	1	2691
MSV000082813	32	2691
MSV000082891	34	2691
MSV000082969	3	2691
MSV000082972	32	2691
MSV000082973	19	2691
MSV000083010	1	2691
MSV000083024	3	2691
MSV000083073	31	2691
MSV000083083	4	2691
MSV000083302	8	2691
MSV000083383	4	2691
MSV000083462	2	2691
MSV000083475	3	2691
MSV000083647	4	2691
MSV000083664	4	2691
MSV000083666	4	2691
MSV000083689	2	2691
MSV000083756	16	2691
MSV000083777	1	2691
MSV000083995	1	2691
MSV000084099	5	2691
MSV000084101	1	2691
MSV000084218	3	2691
MSV000084314	28	2691
MSV000084556	1	2691
MSV000084576	4	2691
MSV000084610	4	2691
MSV000084630	1	2691
MSV000084734	1	2691
MSV000084753	32	2691
MSV000084783	170	2691
MSV000084900	1	2691
MSV000084904	3	2691
MSV000085120	11	2691
MSV000085864	2	2691
MSV000086131	11	2691
MSV000086178	166	2691
MSV000086482	3	2691
MSV000086989	7	2691
MSV000087087	4	2691
MSV000087130	7	2691
