file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	Filepath	Filename	MassIVE	Taxaname_file	Taxa_NCBI	ReDU_Availability	Blank	QC	Scan
mzspec:MSV000084900:G79235_5x_RE9_01_20197	0.0	mzspec:MSV000084900:G79235_5x_RE9_01_20197:scan:763	1	0.92	9	MSV000084900	NoID	MSV000084900/peak/Global_Foodomics_composite_data_2020/MSV000083010_core/G79235_5x_RE9_01_20197.mzXML	MSV000084900/G79235_5x_RE9_01_20197.mzXML	MSV000084900	Solanum	4107	No	No	No	3870
mzspec:MSV000083756:Tomato-MeOH_RC1_46	-0.0	mzspec:MSV000083756:Tomato-MeOH_RC1_46:scan:912	1	0.82	10	MSV000083756	NoID	MSV000083756/ccms_peak/Tomato-MeOH_RC1_46.mzML	MSV000083756/Tomato-MeOH_RC1_46.mzML	MSV000083756	Solanum lycopersicum	4081	Yes	No	No	4166
mzspec:MSV000085657:QC_4	0.0	mzspec:MSV000085657:QC_4:scan:2447	1	0.78	9	MSV000085657	NoID	MSV000085657/ccms_peak/raw/QC_4.mzML	MSV000085657/QC_4.mzML	MSV000085657	QC	QC	Yes	No	Yes	4166
mzspec:MSV000085657:QC_6	0.0	mzspec:MSV000085657:QC_6:scan:2454	1	0.77	9	MSV000085657	NoID	MSV000085657/ccms_peak/raw/QC_6.mzML	MSV000085657/QC_6.mzML	MSV000085657	QC	QC	Yes	No	Yes	4166
mzspec:MSV000085657:QC_1	0.0	mzspec:MSV000085657:QC_1:scan:2487	1	0.77	9	MSV000085657	NoID	MSV000085657/ccms_peak/raw/QC_1.mzML	MSV000085657/QC_1.mzML	MSV000085657	QC	QC	Yes	No	Yes	4166
mzspec:MSV000085657:QC_3	0.0	mzspec:MSV000085657:QC_3:scan:2460	1	0.77	9	MSV000085657	NoID	MSV000085657/ccms_peak/raw/QC_3.mzML	MSV000085657/QC_3.mzML	MSV000085657	QC	QC	Yes	No	Yes	4166
mzspec:MSV000085657:QC_5	0.0	mzspec:MSV000085657:QC_5:scan:2258	1	0.75	8	MSV000085657	NoID	MSV000085657/ccms_peak/raw/QC_5.mzML	MSV000085657/QC_5.mzML	MSV000085657	QC	QC	Yes	No	Yes	4166
mzspec:MSV000083756:Tomato-MeOH_RC1_47	0.0	mzspec:MSV000083756:Tomato-MeOH_RC1_47:scan:913	1	0.75	8	MSV000083756	NoID	MSV000083756/ccms_peak/Tomato-MeOH_RC1_47.mzML	MSV000083756/Tomato-MeOH_RC1_47.mzML	MSV000083756	Solanum lycopersicum	4081	Yes	No	No	4166
mzspec:MSV000084900:G75112_10x_BF8_01_23441	0.0	mzspec:MSV000084900:G75112_10x_BF8_01_23441:scan:1082	1	0.72	9	MSV000084900	NoID	MSV000084900/peak/Global_Foodomics_composite_data_2020/MSV000083010_core/G75112_10x_BF8_01_23441.mzXML	MSV000084900/G75112_10x_BF8_01_23441.mzXML	MSV000084900	Zea	4575	No	No	No	4166
mzspec:MSV000085657:QC_2	0.0	mzspec:MSV000085657:QC_2:scan:2467	1	0.72	8	MSV000085657	NoID	MSV000085657/ccms_peak/raw/QC_2.mzML	MSV000085657/QC_2.mzML	MSV000085657	QC	QC	Yes	No	Yes	4166
mzspec:MSV000083756:Tomato-MeOH_RC1_45	-0.0	mzspec:MSV000083756:Tomato-MeOH_RC1_45:scan:918	1	0.72	7	MSV000083756	NoID	MSV000083756/ccms_peak/Tomato-MeOH_RC1_45.mzML	MSV000083756/Tomato-MeOH_RC1_45.mzML	MSV000083756	Solanum lycopersicum	4081	Yes	No	No	4166
mzspec:MSV000083756:Tomato-9MeOH-1H2O_RC2_77	-0.0	mzspec:MSV000083756:Tomato-9MeOH-1H2O_RC2_77:scan:908	1	0.71	7	MSV000083756	NoID	MSV000083756/ccms_peak/Tomato-9MeOH-1H2O_RC2_77.mzML	MSV000083756/Tomato-9MeOH-1H2O_RC2_77.mzML	MSV000083756	Solanum lycopersicum	4081	Yes	No	No	4166
mzspec:MSV000083274:PiperNigrum_Leaf	-0.0	mzspec:MSV000083274:PiperNigrum_Leaf:scan:4404	1	0.87	11	MSV000083274	NoID	MSV000083274/peak/PiperNigrum_Leaf.mzML	MSV000083274/PiperNigrum_Leaf.mzML	MSV000083274	Piper nigrum	13216	No	No	No	4408
mzspec:MSV000087728:VGF150_A08_pos	-0.0	mzspec:MSV000087728:VGF150_A08_pos:scan:1388	1	0.83	11	MSV000087728	NoID	MSV000087728/ccms_peak/VGF_pos_with_QC_and_blanks_raw/VGF150_A08_pos.mzML	MSV000087728/VGF150_A08_pos.mzML	MSV000087728	Sesbania bispinosa	485725	Yes	No	No	4408
mzspec:MSV000086644:397_RMF233_6ul_BE5_01_22614	0.01	mzspec:MSV000086644:397_RMF233_6ul_BE5_01_22614:scan:2612	1	0.81	6	MSV000086644	NoID	MSV000086644/ccms_peak/20201229_Myoporeae_full_dataset/397_RMF233_6ul_BE5_01_22614.mzML	MSV000086644/397_RMF233_6ul_BE5_01_22614.mzML	MSV000086644	Eremophila maculata	1214565	No	No	No	4408
mzspec:MSV000087728:VGF153_G04_pos	0.0	mzspec:MSV000087728:VGF153_G04_pos:scan:1312	1	0.79	9	MSV000087728	NoID	MSV000087728/ccms_peak/VGF_pos_with_QC_and_blanks_raw/VGF153_G04_pos.mzML	MSV000087728/VGF153_G04_pos.mzML	MSV000087728	Nelumbo nucifera	4432	Yes	No	No	4408
mzspec:MSV000086644:222_TMS14-13_6ul_BC6_01_22424	0.0	mzspec:MSV000086644:222_TMS14-13_6ul_BC6_01_22424:scan:1762	1	0.78	8	MSV000086644	NoID	MSV000086644/ccms_peak/20201229_Myoporeae_full_dataset/222_TMS14-13_6ul_BC6_01_22424.mzML	MSV000086644/222_TMS14-13_6ul_BC6_01_22424.mzML	MSV000086644	Eremophila scoparia	1806642	No	No	No	4408
mzspec:MSV000087844:20210623_14_3C_1uL	-0.0	mzspec:MSV000087844:20210623_14_3C_1uL:scan:3446	1	0.78	8	MSV000087844	NoID	MSV000087844/peak/LCMS data Orbitrap - mzML centroid/20210623_14_3C_1uL.mzML	MSV000087844/20210623_14_3C_1uL.mzML	MSV000087844	Piper nigrum	13216	No	No	No	4408
mzspec:MSV000087711:AM_11RF4575_POS	0.0	mzspec:MSV000087711:AM_11RF4575_POS:scan:2147	1	0.77	9	MSV000087711	NoID	MSV000087711/ccms_peak/AM_11RF4575_POS.mzML	MSV000087711/AM_11RF4575_POS.mzML	MSV000087711	Solanum argenteum	2072293	No	No	No	4408
mzspec:MSV000087728:VGF153_F09_pos	0.0	mzspec:MSV000087728:VGF153_F09_pos:scan:903	1	0.77	9	MSV000087728	NoID	MSV000087728/ccms_peak/VGF_pos_with_QC_and_blanks_raw/VGF153_F09_pos.mzML	MSV000087728/VGF153_F09_pos.mzML	MSV000087728	Nelumbo nucifera	4432	Yes	No	No	4408
mzspec:MSV000086644:344_RMF166_6ul_GC8_01_22557	0.01	mzspec:MSV000086644:344_RMF166_6ul_GC8_01_22557:scan:1847	1	0.76	7	MSV000086644	NoID	MSV000086644/ccms_peak/20201229_Myoporeae_full_dataset/344_RMF166_6ul_GC8_01_22557.mzML	MSV000086644/344_RMF166_6ul_GC8_01_22557.mzML	MSV000086644	Eremophila maculata	1214565	No	No	No	4408
mzspec:MSV000087711:AM_8RF4423_POS	0.0	mzspec:MSV000087711:AM_8RF4423_POS:scan:2081	1	0.75	8	MSV000087711	NoID	MSV000087711/ccms_peak/AM_8RF4423_POS.mzML	MSV000087711/AM_8RF4423_POS.mzML	MSV000087711	Solanum asperum	681489	No	No	No	4408
mzspec:MSV000086644:171_MJB2441_6ul_GB3_01_22367	0.01	mzspec:MSV000086644:171_MJB2441_6ul_GB3_01_22367:scan:2439	1	0.74	8	MSV000086644	NoID	MSV000086644/ccms_peak/20201229_Myoporeae_full_dataset/171_MJB2441_6ul_GB3_01_22367.mzML	MSV000086644/171_MJB2441_6ul_GB3_01_22367.mzML	MSV000086644	Eremophila youngii	2528955	No	No	No	4408
mzspec:MSV000086644:254_RMF263_6ul_GB6_01_22458	0.01	mzspec:MSV000086644:254_RMF263_6ul_GB6_01_22458:scan:2437	1	0.74	7	MSV000086644	NoID	MSV000086644/ccms_peak/20201229_Myoporeae_full_dataset/254_RMF263_6ul_GB6_01_22458.mzML	MSV000086644/254_RMF263_6ul_GB6_01_22458.mzML	MSV000086644	Eremophila densifolia	2652516	No	No	No	4408
mzspec:MSV000087711:AM_27RF40631_POS	-0.0	mzspec:MSV000087711:AM_27RF40631_POS:scan:2348	1	0.73	8	MSV000087711	NoID	MSV000087711/ccms_peak/AM_27RF40631_POS.mzML	MSV000087711/AM_27RF40631_POS.mzML	MSV000087711	Solanum pseudoquina	2072294	No	No	No	4408
mzspec:MSV000087711:AM_12RF6327_POS	0.0	mzspec:MSV000087711:AM_12RF6327_POS:scan:2148	1	0.73	8	MSV000087711	NoID	MSV000087711/ccms_peak/AM_12RF6327_POS.mzML	MSV000087711/AM_12RF6327_POS.mzML	MSV000087711	Solanum argenteum	2072293	No	No	No	4408
mzspec:MSV000086644:268_MJB2484_6ul_GD4_01_22473	0.01	mzspec:MSV000086644:268_MJB2484_6ul_GD4_01_22473:scan:1859	1	0.72	7	MSV000086644	NoID	MSV000086644/ccms_peak/20201229_Myoporeae_full_dataset/268_MJB2484_6ul_GD4_01_22473.mzML	MSV000086644/268_MJB2484_6ul_GD4_01_22473.mzML	MSV000086644	Eremophila maculata	1214565	No	No	No	4408
mzspec:MSV000087711:AM_2RF14647_POS	0.0	mzspec:MSV000087711:AM_2RF14647_POS:scan:2305	1	0.72	7	MSV000087711	NoID	MSV000087711/ccms_peak/AM_2RF14647_POS.mzML	MSV000087711/AM_2RF14647_POS.mzML	MSV000087711	Solanum	4107	No	No	No	4408
mzspec:MSV000087711:AM_7RF6769_POS	0.0	mzspec:MSV000087711:AM_7RF6769_POS:scan:2135	1	0.71	8	MSV000087711	NoID	MSV000087711/ccms_peak/AM_7RF6769_POS.mzML	MSV000087711/AM_7RF6769_POS.mzML	MSV000087711	Solanum	4107	No	No	No	4408
