FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
b44621e5c80607cdfacbf7a81e1cbe41	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7fee9350277038eef98dee70b4190563	32	19	69	109	63	52	46	51	72	34	80	370	90	115	0	11	57	83
d6f3a6808f1fb78039f2583994b3f739	0	0	0	9	0	4	9	15	29	0	0	0	0	0	0	3	0	0
3008058d9758761fb9975d832d7a035e	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2a75f0b7741e4b22a9843daf1e4c10a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
be9fb1d1571f6b8907d5dc9591060e0c	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
b474eab56e9f3cfb7bbb6e2e77feab2b	0	0	0	0	0	0	0	0	3	61	19	19	29	19	0	0	0	0
896cab88673c4f58419e196d0a3546cd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7962fd1e48eb3ee4290fa19840f3c1c5	435	57	792	470	1022	446	196	1034	173	147	113	21	14	8	1	300	185	251
134247c006461307f308091f8be9a687	0	0	0	0	0	0	0	0	0	30	4	5	2	0	2	0	0	0
520146f24409cd6ca7d957109aba38d5	29	117	10	5	13	4	0	5	8	20	5	5	14	0	3	16	3	7
6afe22267ea7abb7e19d1ac5fd390943	0	0	0	0	0	0	0	3	5	16	4	17	0	0	0	0	0	0
f0a0b22d41f7fda2fa21946266c4c417	5	1	1	0	0	0	0	0	0	179	11	4	7	0	0	13	20	29
5b6e5073c89e5617b7227481b62fcbee	8	0	0	0	3	8	0	3	6	0	12	0	49	0	0	4	5	19
2653918cc84c1fedbd74dfb0b90fc102	192	321	179	204	52	41	35	133	35	18	9	8	7	2	0	138	3	41
6aa346522f77caffe6ea5f15a283e0a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d8edc61e66f9d40df99c759f87d400f7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
63ef63a0465c6fdee0096363de5b7b63	7	2	1182	338	710	742	1524	1049	262	1680	259	489	177	127	161	905	314	186
902ce36bb30cbd0ae2badecac2849fea	9	9	21	4	17	38	17	0	1	20	3	4	9	9	0	0	0	0
d7cb2fc867cf27c1a308562208eb992d	3	7	1	0	0	2	2	0	1	0	0	0	1	0	0	0	1	0
cc20935cc1dd5807c0053f5ef4857629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
879b108ee3daab7dbbb2914d50ed92f0	2	0	3	6	0	2	3	2	6	3	4	0	0	0	0	2	0	3
e9f791a8d739d0d5bb114e9d6dd47a61	0	0	0	0	0	0	0	186	46	0	0	0	0	0	0	0	0	0
e73fc2655e1cca4a2b1c419da3630c72	873	399	2787	770	2082	1644	422	2244	1042	217	122	466	180	97	67	22	103	112
20dcf1a1db024b500164d53e825ef92e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
473b19d5aa90c9c3396bb25010797afb	0	0	0	0	0	0	0	0	0	10	14	10	2	4	0	3	7	17
a7e1891140c28532f7f7280778c263e2	21	99	65	48	12	1	17	75	8	0	0	2	0	0	0	45	7	0
4f05d43ba5590d37d0239713f9bc9475	12	45	39	0	27	3	0	13	3	5	4	0	3	0	0	32	9	5
a22aa5ad040d319a75e3e5fc28fdab62	1	0	6	0	1	13	0	0	0	7	0	0	0	0	2	0	8	0
4750b30f8ebd89be7f618b77000b5908	6	8	5	0	0	0	0	22	3	4	3	4	4	0	0	2	0	0
2be8d27a0d6e81fe2e7f5b0d1000bb07	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
5a24bed35972fe08ceb47f6abd173bb8	27	4	4	2	5	0	0	0	0	0	0	0	2	0	0	31	12	6
7031a46e5f1b646d6b5415a451abe85c	370	418	277	17	160	7	28	262	74	2	2	0	0	0	4	372	0	0
649c81e7748b02f167234b3f37471354	2	4	9	4	8	0	5	8	6	0	7	3	0	2	0	0	0	0
ab4a8723e7360cd7210a03fa5a8746ab	201	229	74	23	110	8	27	250	94	39	27	14	12	2	0	80	49	98
967a7958406dfe8af43d80a02afd05b9	0	0	3	0	4	2	0	0	0	81	12	0	9	4	15	0	32	10
985335f6d7965db9b58dcd8f741f2c3b	176	152	231	7	211	381	94	547	144	87	29	5	14	2	3	268	141	192
9b513b14e81757bb9537e723bdaa1468	0	0	17	1	5	21	0	0	0	5	0	2	0	2	29	0	34	7
58f02a8678dfe590aeea33eda191b089	2	4	0	0	0	3	0	0	0	4	0	0	42	0	0	0	0	0
9b0549bb6e63f681bf133d2c7996055d	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54273ecc78bcf66411ff6bb36cf90e85	0	3	2	8	0	41	109	0	0	32	41	2	0	0	0	0	4	15
95e6b200a9338cd774bd17d222abfbe6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	15	2
5778fe5bd0f0f813a21f3a1e0ba46b67	3	0	5	2	2	2	3	3	4	4	6	6	7	0	2	10	0	2
a580c6389f2262f495f411109d4a2cc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
339c9fff6b3961ff4fc9293e90b23460	1505	714	14	0	0	5	0	0	0	0	0	1	1	0	0	0	0	0
8baa3898ce278f3ac2175daed707d05c	15	11	21	3	13	9	0	16	4	5	0	0	3	0	13	10	147	35
d079f3a267f434611eec9e5c1b108650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12
3f1a5990efa772909fc3e63ba590af25	18	48	17	0	8	6	0	16	0	0	0	0	0	0	0	5	0	3
bd31e6edecaee3eeab08000d447a1439	0	0	90	8	62	172	30	118	64	94	20	38	56	39	128	23	187	74
