FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
f0c24643917a052add6ebb33ad64db9c	2	0	0	0	6	3	4	0	0	0	0	2	0	0	0	0	2	0	1	17	30
74d3dcd6ae99646ad2d0e51a6de52392	4	0	0	0	0	6	32	26	10	5	42	9	0	0	3	5	0	0	20	0	0
d1d750ce3b00503c204516d27ca0d3b0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d0a6a17a14d07d18521cdf6b8a4db00c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e0181d72ef017ea39709b7cfa08602c2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7a20f7055ca2c7462cfa6a7aef16ec28	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e9e66eb000d57ffb910b6033428a7dec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2e04c980752c8fc37c462e08582777d3	35	41	49	24	87	99	98	19	663	179	79	47	16	106	56	235	484	40	52	143	42
a3cb3a29483774a30b7ce32181738968	17	18	4	9	18	8	3	5	22	6	21	4	13	0	14	0	0	0	4	2	3
a5a51ff688c72397df453c6202677716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	20
985335f6d7965db9b58dcd8f741f2c3b	288	338	1446	270	253	115	102	137	362	196	583	179	216	90	609	288	75	8	525	735	304
5a24bed35972fe08ceb47f6abd173bb8	17	9	7	11	0	1	0	12	0	0	0	0	0	0	0	0	2	0	11	14	36
ea1712888965e4b09f9062b3a9e0b965	3	0	0	0	0	6	2	0	7	5	4	0	0	4	3	3	21	7	0	2	0
abadcafb7b129bf4d742b67fbe3a1b11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0
900513db0efcce207dad5a3c8a31924e	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
789ecd2eaf99f332bf590a07d85b6a26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bb796588cb052d2a5a49bd17a7bac3a	0	2	9	3	0	0	0	0	6	7	0	0	0	0	0	0	0	0	12	0	0
bc3944ce7e67c90a57554226d6f96d30	0	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	3
6a97843e3ce6847477b341b27b0d265e	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	9	0	0	0	14	4
0f2348ad3325c6e744edec78bb6418ac	0	0	0	0	20	26	40	25	0	0	16	4	15	35	0	0	0	0	0	0	0
f03b237847b87c89097cdf5f096bc479	12	16	2	0	3	5	14	0	13	23	6	0	11	10	7	4	23	8	11	6	11
473b19d5aa90c9c3396bb25010797afb	0	0	0	0	0	0	0	0	0	0	0	0	12	31	0	17	5	7	11	4	6
1a8f4d78785f78a1ac4e95b79749e6ca	82	188	259	124	245	142	20	162	190	117	128	72	9	12	159	77	46	11	256	566	212
8778fa56153fa6e1c2cc8742b9515528	4	0	0	2	2	0	0	0	0	0	0	0	2	2	0	0	2	2	0	0	0
329b37aa52492b9afe45e2e71f73b685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	22
99bd1565d75f00006c157a7dfb1340c4	17	10	1	0	14	9	11	4	1	0	0	0	0	0	0	0	3	0	7	0	0
b5cce6519ef4fb7fee0a75602f540c8c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196aa20a856432c04f7080a1dca4c867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
749368cececc692b80a519617aaeb1e7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	2	0	0
44ff26d8105cf822417b4b0c4eb27c02	633	3214	634	1270	196	1119	217	2835	93	96	95	242	137	107	61	124	145	19	355	99	807
825504e1adf2ba9411dbf7399b2c9c60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e07535e173a4b33ffe43d2b5f5878f7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aab240d0a0136723b0baf549ab17991a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f3ab15e5e867e88e22c848627e1e3d16	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4
0e863107b30334cefe95b72d82b11a78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3961c585ed97be98a9f4ba6594270451	230	292	78	311	21	187	5	215	85	231	26	59	26	6	17	161	133	19	531	9	29
ef1069db8746beeb085860d95659c3e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
511389b5c9fc8da62e40d5a26d25899a	4	0	0	3	0	5	2	0	3	3	2	2	0	4	5	0	0	2	0	2	5
7cd21ff6ca065507b48a237f2ace2462	1	4	3	0	19	11	1	0	2	3	2	2	0	2	2	6	0	0	8	1	0
f31f20496ed5d92e3175aeb3fe8968c7	0	0	0	0	113	13	0	9	196	130	231	62	3	0	0	0	0	2	239	0	0
b474eab56e9f3cfb7bbb6e2e77feab2b	0	0	0	0	0	0	0	0	0	0	45	12	7	9	0	0	72	84	24	0	0
54273ecc78bcf66411ff6bb36cf90e85	0	0	0	0	0	8	0	0	17	74	0	0	133	4	59	32	0	0	263	6	129
cc20935cc1dd5807c0053f5ef4857629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1e22f094d8c64fb56dbacf680dab8c9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6068d4fee0a8ef3ada060bf7b5599fe9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
d7cb2fc867cf27c1a308562208eb992d	2	5	2	0	5	0	0	0	4	2	0	0	0	0	0	3	3	0	0	2	0
4fa08920bf9fa03f379c2578dcd5559c	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5ece98c0cac362bb89d0929bf339db77	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
107e01991c896ef137f273f55f852d99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3f1a5990efa772909fc3e63ba590af25	22	9	29	8	21	6	2	7	11	4	15	0	0	0	16	0	0	0	7	13	3
5db2cf37007f874e25eb2c901917e15a	0	0	4	1	3	3	3	1	31	38	8	26	41	13	18	48	2	0	0	12	39
679e26e1fa39c79d370763fafc27e942	0	0	0	0	0	0	1	0	4	0	2	0	0	0	8	2	2	0	0	0	0
923a477c342aa445c4eecca0f8415ed5	14	13	9	1	0	0	1	0	10	4	0	0	0	0	9	0	0	0	0	0	0
866ad2faba7615ca2e8880eab1955aa3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42510fba05dfdca4d4abce03bed0ebb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
