FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
6a97843e3ce6847477b341b27b0d265e	0	0	0	0	0	0	0	0	0	19	0	2	0	0	0	0	8	6
99bd1565d75f00006c157a7dfb1340c4	8	8	14	4	21	9	0	15	6	2	0	0	2	2	9	12	0	0
54273ecc78bcf66411ff6bb36cf90e85	0	3	2	8	0	41	109	0	0	32	41	2	0	0	0	0	4	15
923a477c342aa445c4eecca0f8415ed5	0	0	2	1	0	0	0	0	0	0	0	1	1	0	2	10	0	0
74f1968b8430f123493c159111e08538	23	9	0	4	5	7	30	2	11	6	26	5	0	3	29	0	15	22
3af4973333a2fb53d4f764da8cebd075	24	0	2	0	0	5	0	8	0	14	3	0	0	0	0	5	7	4
bbb2a3b01d4303ad284bebf5403cbbac	0	4	6	2	6	1	2	8	6	10	4	2	0	2	3	6	6	5
855c18fbe80869f9770a32882059ab85	0	0	110	18	91	0	0	20	2	10	0	14	11	6	5	11	777	53
fb47ebf73791a9cd5a943010dfc49812	510	192	162	188	180	164	1037	99	211	1739	1061	622	35	81	2613	233	926	692
1247b655d9804d0973d52adb92a8975e	2	0	0	0	0	0	2	0	0	4	0	0	0	0	2	2	2	2
d1c1529acbbd977e6219701a664424f0	81	63	0	0	0	116	59	0	0	196	24	52	0	0	0	11	268	141
e9b7ddfac6ddbf88f1547702c21aa818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2
5c53164e55b1a6ac5a3adca191327b1b	8	6	0	0	0	4	2	0	0	0	0	0	3	0	0	8	1	4
7f782768e8d3067af0a923af092239d3	135	36	0	0	0	2	8	0	0	119	47	8	53	12	7	19	33	18
726fe9527294f50f4d2654b3a25730a9	33	20	11	0	8	26	2	26	4	152	5	0	11	4	3	3	16	4
e32f283ff0b4e236db9c0fe5b1327de7	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16	260
8bbc92e9c53f0b9f1ea8ff76b16f132f	980	598	237	130	573	0	0	356	30	46	27	7	23	3	0	0	68	112
7da3df619234b604145d1885e0ca6876	1186	599	524	462	537	260	178	135	34	1695	362	125	159	28	335	239	448	86
e0f234784df2494390ef5659eaa69184	38	37	106	5	70	26	35	266	121	29	3	2	20	14	5	43	268	158
eb4104bfe7ff965e7288b9e381317aa8	73	49	7	5	9	67	5	25	11	42	3	5	3	0	0	24	114	45
a7bdde1a1704da13ae08a3caf6ae138b	52	27	82	7	39	180	9	66	46	134	4	5	3	0	4	21	91	14
e4299bd188c438115aa76f0c2cb9419a	3	0	0	0	0	0	0	0	2	52	4	0	4	0	0	3	0	3
0d772f1907bd13a11e8970f74e6a0696	43	124	10	0	11	109	38	57	32	228	9	3	3	0	0	0	26	116
a6c1d5c393eaa8b78baddc67c010b5fe	5	13	26	5	30	17	2	89	49	8	3	0	5	2	2	281	83	82
4871043dc895f84c21e672afb0b9caca	0	1404	1439	371	1847	173	209	330	74	318	101	23	0	4	0	0	1071	191
2fa980c595269f393b6188894e624abf	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	2	4
21b8486e169a9d5161d8ec072aeb59b9	243	212	40	6	32	57	34	26	0	453	126	7	36	6	24	82	41	47
879b108ee3daab7dbbb2914d50ed92f0	2	0	3	6	0	2	3	2	6	3	4	0	0	0	0	2	0	3
4f0c9444939147ce28f9ad9aec7d6072	0	0	4	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
f0a0b22d41f7fda2fa21946266c4c417	5	1	1	0	0	0	0	0	0	179	11	4	7	0	0	13	20	29
7c57afe3b6b21af9d22cea9e92af463b	91	162	418	216	338	204	64	1259	758	367	369	2058	455	459	2	5	455	293
65bc2b52d9d09bde0d63aadfcffa450f	67	27	24	0	15	87	6	47	25	0	0	0	35	3	7	21	0	0
599fb369409af5854ed704b89dba2fe6	0	0	44	2	34	0	0	0	0	62	13	1	2	1	7	30	24	25
14d6de6a2dfe4543142d0e0851297ffa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3
de2b74b8890d40f4462c2a39ba26c418	135	92	27	42	18	16	43	15	23	5	6	17	4	7	62	46	2	2
28ffcf08ac42056a280ce3eda0048052	57	55	0	0	105	8	14	223	22	18	10	0	5	0	0	2	34	0
be65daef90f69cfc35f5bcd8e387d377	2	47	13	2	0	18	75	1225	173	6	3	2	40	2	0	522	33	104
e613626b2ce8bfbf28995d9b11edaeed	0	3	0	0	0	0	0	0	0	10	0	0	4	0	0	0	8	39
359e73d48c4baa972dd48e2055cef261	0	0	4	0	52	0	0	3	0	25	4	2	0	0	0	0	7	11
d90a306bb67d75602d9e789894d2c81e	1	8	10	0	14	25	2	25	1	67	120	0	0	0	0	10	102	316
80e9ce0ecee127d5a8cb96d9cf34d401	0	0	33	0	3	4	1	38	4	36	1	5	4	0	0	0	6	3
520146f24409cd6ca7d957109aba38d5	29	117	10	5	13	4	0	5	8	20	5	5	14	0	3	16	3	7
80af69ba7e6c58afc3fdd1d4334e580f	0	0	0	0	5	8	0	4	14	5	3	0	0	0	0	0	0	0
79e9e337b10e2d298bb1b3bde946782d	40	16	22	15	16	0	7	521	58	385	156	454	96	23	7	0	42	10
cf7f7463ab3cfdd7d0a4046d06f37dc8	492	127	135	79	136	196	69	174	30	422	65	70	106	49	61	116	174	94
fa8fd133d35f1f58e08b2cfc9a88cb96	0	0	0	0	2	2	0	0	0	3	3	0	0	0	0	0	3	1
cf4fac0cbb58da66ff59450ec524a7f4	176	76	99	74	92	59	258	91	62	375	86	30	58	56	32	57	175	35
