FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
923a477c342aa445c4eecca0f8415ed5	0	0	2	1	0	0	0	0	0	0	0	1	1	0	2	10	0	0
d1c1529acbbd977e6219701a664424f0	81	63	0	0	0	116	59	0	0	196	24	52	0	0	0	11	268	141
7f782768e8d3067af0a923af092239d3	135	36	0	0	0	2	8	0	0	119	47	8	53	12	7	19	33	18
726fe9527294f50f4d2654b3a25730a9	33	20	11	0	8	26	2	26	4	152	5	0	11	4	3	3	16	4
eb4104bfe7ff965e7288b9e381317aa8	73	49	7	5	9	67	5	25	11	42	3	5	3	0	0	24	114	45
a6c1d5c393eaa8b78baddc67c010b5fe	5	13	26	5	30	17	2	89	49	8	3	0	5	2	2	281	83	82
65bc2b52d9d09bde0d63aadfcffa450f	67	27	24	0	15	87	6	47	25	0	0	0	35	3	7	21	0	0
be65daef90f69cfc35f5bcd8e387d377	2	47	13	2	0	18	75	1225	173	6	3	2	40	2	0	522	33	104
e613626b2ce8bfbf28995d9b11edaeed	0	3	0	0	0	0	0	0	0	10	0	0	4	0	0	0	8	39
d90a306bb67d75602d9e789894d2c81e	1	8	10	0	14	25	2	25	1	67	120	0	0	0	0	10	102	316
