FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
1	54687.36099	5026.011548	86040.07177	12271.77306	4788022.828	6353372.298	6999396.037	1682900.987	3863318.472	2664312.406	3104416.065	2819739.547	4041498.697	2488979.681	4662894.575	1291019.993	1891944.313	648754.359
2	190796.8046	90262.77108	231148.454	775981.4413	252638.273	207956.3974	317947.7374	74357.65828	418779.935	341848.6279	478023.3484	451891.2726	236490.7893	271208.5622	265912.1921	453230.7271	406215.7138	415964.8223
3	3251537.833	1747183.586	540641.7978	981468.4817	399777.5887	1217314.885	597477.762	682664.291	492046.1216	376343.1283	266934.3688	853371.1804	451248.536	531950.3645	243827.22	592383.7332	613645.2045	1058510.26
4	4199644.632	3078613.435	457612.1854	1335719.443	399777.5887	1084454.795	769880.0004	595849.6611	657891.174	516007.3488	354723.4666	791851.5187	618223.936	426882.0142	243827.22	592383.7332	822585.2761	934175.8608
5	32500000	19100000	32300000	5293888.121	11900000	33400000	9417479.351	19900000	7921668.627	3877990.216	2874011.911	6363585.238	18200000	7274806.5	8468716.952	36100000	3082841.081	3226852.73
6	2954372.265	3059340.472	1842932.612	2439277.921	2690913.033	3358092.549	3619696.241	3115223.685	3098343.534	3146667.582	2800815.807	3544807.677	2850603.227	2426966.389	2949861.706	3243833.585	3216820.957	3422906.479
7	40753.36613	7718.115243	6793.548414	13063.97439	3238939.102	3298174.437	10700000	719285.599	5336591.62	1132828.534	1720787.359	896517.3427	2292409.053	1346761.933	2992238.243	892938.6426	945124.2188	272301.6716
8	134954.6887	20217.3235	85392.83782	37712.24224	9759191.184	7120673.941	24900000	1997045.864	13700000	2748728.704	5311810.502	3346785.972	6772116.688	4191020.51	10800000	3484549.921	3156887.395	977225.0195
9	75823.6707	43881.27173	25520.40368	31793.33949	1467280.146	735345.3185	1449636.812	326682.9871	1156914.654	294183.4594	208858.2224	560159.864	779959.2657	247848.1517	1648009.892	1162331.421	251091.8003	348808.164
10	18975.94148	3764.1989	3847.522136	1976.276119	1030700.125	2341444.297	935353.6157	797379.7457	495294.9939	797369.1178	876787.5723	792923.286	416432.5924	677836.7214	1650982.25	1265406.217	746979.9514	498365.2751
11	550158.3244	495325.2278	130630.7302	89491.32402	220497.501	1299585.456	1010779.368	150556.0109	787247.63	426600.9296	859346.1752	634653.7378	695534.2915	475158.8803	5227082.945	732753.0728	774299.0171	596909.494
12	2464247.112	3433638.471	1315193.398	5200439.423	628588.6333	2815941.349	2942963.1	853310.9896	3278545.323	651588.1083	444104.7179	1123149.986	1658307.156	1739690.188	2597903.872	1435736.246	1396602.715	2002765.508
13	10020.84639	1318.51922	5046.717465	1525.774176	1925058.275	4885478.203	3148074.949	1017564.006	1352800.429	1172548.292	1287501.09	1194028.539	1519499.539	1050819.51	2421206.64	1580741.304	739397.9418	597095.6834
14	39339.01768	2256.226889	18978.62409	4119.910836	2725447.044	1086317.749	3560879.77	350945.5422	2167552.363	886861.3213	1282960.267	652351.0015	1939509.652	1068857.664	1834826.896	639525.9723	770479.7171	236006.6816
15	9179445.386	5454682.516	19300000	2498498.303	5234828.739	8051647.472	2425746.457	11100000	4328786.14	1705590.224	1359093.428	2106806.577	3050428.824	7137118.572	3038804.452	12300000	1665125.216	913023.3599
16	112499.7895	25271.00961	460033.5459	179577.1505	4130613.993	5884527.883	5433473.611	3356115.019	4935457.255	1844226.312	2609935.019	1396549.147	2513351.467	1824796.772	1816283.287	2171846.771	1540619.334	801766.5463
17	1239090.951	693060.979	255735.6119	51823.84386	4148861.252	4064141.865	8583781.632	913907.5877	4466313.285	2429842.003	2504277.763	3371443.077	4907132.733	2213111.99	8587682.779	2401207.008	2540610.465	426583.621
18	3765130.296	2238630.15	922232.8605	80407.356	1904803.312	9983962.522	593292.9345	2057416.801	389119.95	425446.9775	231035.6163	1865656.958	3213588.593	360812.2725	2564836.911	13200000	558077.0148	68404.41767
19	3783330.537	3771870.416	2822901.27	4559665.82	3429200.076	4542706.628	4524135.562	3436099.07	4527560.996	3694485.909	3825559.696	4304673.415	3471963.808	3425681.487	4448422.362	3981953.689	4101578.391	3701131.84
20	307627.1569	11413.91199	238485.6361	111903.3555	28900000	68900000	71300000	14400000	5e+07	11100000	11600000	16400000	23200000	8593465.954	69800000	11300000	6781190.219	2938397.143
21	4750883.6	1441602.074	306173.9533	312685.7188	569678.543	3159601.384	3277305.345	1309869.072	1070347.527	242073.2831	262538.9798	346420.9922	564579.142	244792.1616	319265.1354	2181892.349	309974.9974	102329.238
22	6072490.836	2218894.038	484558.4064	637358.3743	1416115.196	5331669.09	5352045.767	1050085.813	1191818.389	645982.6073	498981.6985	581711.9444	1345333.73	527510.4965	721442.5285	3900084.09	852794.5882	345169.6754
23	14464.35726	3200.191799	7731.812279	3369.380392	1121575.169	4777760.789	5578809.801	665575.6257	1397501.456	511710.2017	717008.5312	572875.4528	775288.5296	626195.5897	4175882.363	1254816.486	381046.7655	265736.3744
24	389648.5584	412091.2743	398232.3424	320854.8739	473231.6504	351972.2847	303454.1711	175556.3843	335791.0564	347311.8353	370901.2881	369563.6879	709762.6402	496595.7904	812410.4954	400528.2925	409361.3024	462306.3048
25	13200000	8166182.737	2218205.138	389764.1265	3004552.757	1.7e+07	1731558.107	3131361.798	806003.3044	962800.8649	283032.5749	4060221.995	5902296.274	1248046.669	5176915.262	1.8e+07	1681881.065	432548.0688
26	6115487.725	3598345.538	12700000	1600721.352	3472975.128	5336229.577	1583145.967	7294871.834	2830265.028	1096919.945	909554.4704	1385489.963	1960177.164	4659128.733	1933619.185	7994301.833	1056075.002	659523.1463
27	603489.8755	17111.32203	566187.3099	66871.70273	1893252.444	6130476.894	9793378.551	8875059.761	3987925.436	1636036.686	2412457.225	3240759.231	3461186.054	1793249.276	2185823.3	3526743.203	1276326.667	302877.6786
28	3495241.432	1746526.339	742695.6631	259478.7968	222384.7663	295794.1857	82968.3327	120041.3685	124051.8275	2202133.829	269679.6774	1585891.102	1023237.053	171915.8424	134449.3276	351483.5756	2125516.324	41193.28686
29	25192.64334	587.9776333	9809.516577	5673.020424	3994168.686	13400000	13400000	1927029.87	8307009.189	1218515.769	1277291.721	2265300.451	3316741.264	978884.125	12100000	1768413.517	804487.2542	352007.3121
30	1418883.182	1037241.037	583696.5907	1102590.412	805670.298	933133.0936	848670.7669	906956.6003	1081804.597	846690.6319	825216.7771	869485.075	699403.1727	808516.299	855244.1646	732257.3793	874506.7375	840597.4801
31	9522487.6	7698380.055	1301827.305	754429.7101	2015963.479	14400000	2454569.991	2412942.67	2114018.705	1205260.122	799753.532	4437601.895	3276554.382	806901.4853	2505535.437	11800000	2701440.869	1147983.991
32	12060.97468	0	24112.27687	2544.051982	2092809.032	873799.672	2823516.133	484043.5402	2226547.619	721759.9144	1406353.107	807787.7593	1490336.775	1145301.291	1784212.105	729098.1716	821894.6484	389362.5355
33	59083.34537	3546.711368	26280.26475	4709.756271	1592400.224	1418072.436	7463145.615	390789.6794	3480424.603	754425.2736	1363942.342	910559.0625	1613921.086	1286473.577	2672725.384	1096529.746	820468.8832	387281.5117
34	7715855.871	7430758.75	7195600.209	7179453.265	7028719.693	7117885.108	7297743.263	7110992.466	7206508.436	7102247.893	7362494.01	7047363.946	9304041.547	6831195.964	7121903.19	6945649.06	7481621.365	7187398.973
35	5376280.548	2958393.964	2354794.556	290029.9409	2701583.984	13500000	1586884.463	2778712.048	572731.7334	529851.1909	289369.978	2621311.889	4039972.93	1062321.248	3695345.525	16300000	1204658.144	188645.2108
36	8228204.758	7681507.275	1523129.74	3839365.226	1165456.742	5838653.335	4401252.698	2287608.19	3363222.899	973576.0148	685844.2311	1763123.175	1509160.068	1185829.722	1294706.642	1499252.47	1795273.533	2903281.829
37	102845.888	39887.82831	574586.2121	17932.56742	2160634.491	6334055.087	11400000	2570179.101	5746916.259	1032346.628	1722004.037	1780361.225	2366750.585	1144170.177	4475181.369	1460190.871	868410.4509	430081.0775
38	9014893.567	11800000	738631.3029	3936494.477	1392993.025	17700000	11700000	4888190.327	9768698.964	4081401.191	4906132.314	8425141.353	6895097.631	2999173.664	4291315.404	7149269.517	3238515.23	4755670.281
39	328068.8106	90642.0139	63544.24016	78756.40541	1212695.514	2117182.986	4723195.542	409364.5557	1642163.359	544254.8982	732720.2495	864368.719	1219947.737	646854.441	3771178.657	721580.632	646360.6076	189828.6665
40	103468.2189	28152.99124	27147.69758	7266.528233	1587632.098	1204018.131	5460170.064	819123.6006	2534243.009	140887.1685	821685.5629	437285.4593	1018137.776	762101.0813	3178494.697	539467.8613	104601.0562	176170.7199
41	100598.9121	41756.26092	443114.8891	50964.26868	1984360.45	4933523.089	32700000	869064.9496	5842797.774	628203.2949	868295.2413	684885.3728	1892539.527	688374.8094	2181812.044	1215806.056	570749.8458	165064.5047
42	100598.9121	83593.12323	965337.6431	50964.26868	2343593.065	4755492.482	16800000	760234.2043	5696559.399	634592.4833	944034.4854	762466.4241	1757229.708	712247.4069	2092950.513	1265232.761	565416.9134	165064.5047
43	2726636.279	3045135.138	3240409.608	4495164.883	2601584.067	2919959.456	2939061.486	2415513.539	5272286.047	3016944.816	2685038.021	3142513.734	2541897.916	2434626.734	2808993.17	2490820.158	2665724.009	2542467.343
44	6594980.021	6812894.541	6548756.838	7601008.532	6950030.343	6855532.433	4514241.417	7222353.806	6396523.866	8717692.82	5333946.502	15600000	4597285.25	5609547.017	3448476.034	5308124.571	5294392.296	6436001.271
45	2244852.714	1834209.925	578403.3959	1650616.593	569716.1987	1678797.662	1540976.423	641017.8055	1056163.304	492229.7847	583716.3939	893388.5171	702783.8726	612267.4275	833665.655	1027385.327	848668.4125	1016311.213
46	6910474.377	3283300.679	663236.2941	853203.9182	414956.9104	2073864.564	654859.8958	2076979.901	1038317.009	1254094.858	945753.4919	1862220.017	923811.7524	442339.8702	404408.0594	1995411.328	1311477.546	1145343.175
47	3320330.13	3251422.471	2984459.189	3308348.467	4863016.069	3349483.823	3313478.743	3139275.407	3138201.717	3097614.661	3381757.139	3310827.228	5300436.377	4013353.987	5652264.731	3201464.284	3282490.318	3529792.439
48	108667.0876	143620.7038	767428.8615	79369.13706	1048205.928	1654972.304	2022023.048	1232771.33	1139208.397	801176.7753	1344931.425	1328625.403	1779138.732	1317062.777	2063929.924	1074485.62	996888.0418	143217.464
