FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
1	304255.5318	806652.5243	609254.8089	5789503.581	1222689.686	3830569.901	2530175.49	8070613.544	95510.00694	10400000	5235727.779	5777560.814	2020443.277	2145700.285	15909.15817	1609588.086	2379840.965	3470551.709	655130.9554	1311237.852	2697329.109
2	252885.7568	591390.6867	253838.3596	319630.6918	112080.584	643641.9749	228746.6846	417637.1154	203863.8027	490379.9074	96494.10673	380930.4511	410353.6771	497060.3575	444326.0198	326501.3503	377957.739	305932.9411	409015.2183	432298.652	321062.0582
3	1088111.746	1187465.791	863836.1318	455402.1618	759683.4424	490444.0556	674365.0267	399520.3558	1560341.776	756373.946	943737.3959	358223.858	769277.4159	362321.3728	1525973.008	277196.3392	502477.1059	310545.2382	566888.7356	1158072.148	258895.608
4	2285217.083	1775022.049	1448380.459	470744.0239	1179915.192	645282.5666	954673.4854	408327.6186	1472882.871	708578.708	592070.6724	478886.9113	1113568.353	478985.1181	3871454	371035.9647	724847.6773	409691.0301	772958.7472	1837011.399	319276.1669
5	22700000	15200000	40300000	2.6e+07	35200000	23400000	41400000	10200000	57800000	17500000	13100000	11800000	20800000	7137421.983	24600000	12400000	19300000	10300000	10200000	38700000	5989142.885
6	3726930.527	3286929.568	2446886.286	3030698.907	3134444.024	4613507.66	4158785.221	4311714.918	3866756.837	4909324.268	2452066.181	3445837.2	3332451.258	3574002.563	4812811.429	3716460.866	3841956.288	2702409.593	3717066.12	5351324.533	3022007.972
7	48689.31628	1431233.026	454573.9488	11100000	1619165.914	8052262.33	3153435.116	1.3e+07	517738.4946	28100000	4186592.093	15800000	1588772.196	1477314.22	2494.876379	1520533.07	1087156.487	2628288.677	341130.3776	604844.4035	1668763.063
8	156155.044	4330760.304	933753.9426	2e+07	3046643.327	12300000	7008019.937	31100000	904361.2079	36700000	9326008.646	31400000	4730512.22	4124486.595	18074.29228	4221560.668	4412139.568	9892330.99	870544.0934	1565012.014	4716903.707
9	240679.7925	257997.6038	320024.5654	1386364.639	127428.8072	566430.1527	487138.8737	2444872.149	211340.5636	2376072.782	333847.7947	2855798.049	535610.0624	534456.3737	21079.80433	929203.8598	703397.1186	2259719.118	1195987.881	480814.7351	1148379.452
10	71445.03634	424566.9034	296021.5719	2574621.268	803961.3602	1106463.961	832107.6244	2475944.547	106742.3806	4267463.466	3240691.348	2362444.327	730933.8861	780483.8863	4963.114523	958326.2419	1854329.524	1536086.939	828653.3171	2449137.407	1743949.055
