FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
620	265036.2837	209090.9007	85332.27307	119813.9121	628625.4509	966785.2685	201478.1832	785746.6474	266308.6412	233313.4526	96409.22074	519332.8985	522587.1522	344700.8029	853527.081	2549475.756	284506.2488	100590.3407
851	85255.76281	15356.62672	20065.90285	26472.93756	448410.7961	442530.0921	17794.05028	423880.216	83195.47023	77772.3675	42180.39854	137416.2317	254599.8607	138527.4425	253577.2414	1511291.193	131347.5093	19426.25222
933	0	0	0	0	0	0	0	0	0	319.7217136	315.2500732	0	0	0	367.8370135	0	1090.070408	0
1025	132144.2675	170972.0655	287178.0477	109259.3866	118702.818	136301.8951	174750.0424	212300.1789	157515.6849	138641.7939	128110.537	111556.1723	196685.1067	171678.6407	99575.79057	88131.74541	134187.8394	213543.6765
1264	9586919.395	17400000	34412.17617	614978.0178	70103.00656	345253.7854	848637.5492	155112.8679	325821.62	174290.1015	42281.82891	258757.4781	229671.2733	396285.4541	62420.87942	331500.4977	68649.84727	1306233.325
1425	58984.77408	56032.96838	33880.88528	76125.52337	668676.7645	1745470.696	166734.0509	321277.7958	81667.79774	172324.858	8979.760704	603578.0019	557118.5486	109237.4847	1629336.97	2260299.078	365223.4484	55339.77757
1522	234133.2872	140274.883	45233.81454	101083.7575	508084.4407	1486075.449	2271856.373	391151.171	973574.5723	152943.1159	314567.93	306463.6237	503219.8462	192567.6039	1393855.798	294032.5126	141155.7586	70047.78981
1846	1141540.279	3216410.824	5601.571348	80512.08651	5128.77862	39282.89913	101196.6473	13092.32253	18539.51571	18243.25746	22057.90957	6540.1546	20623.8424	20688.40689	9809.879611	113537.5014	8821.453021	142934.3377
1974	5569.470998	2392.355034	598.1883893	1092.639398	615.183404	2366.333042	1721.69854	1115.031054	637.3092027	661.1505924	499.7560821	1118.530575	432.4781813	706.9443383	3795.425979	2672.331607	1001.92977	1080.752216
1992	23463.61042	292537.9373	2228.814672	1128.58296	785.7266412	1440.06287	14928.2021	1545.387159	4256.233511	967.7732894	508.8220908	10001.31675	1100.853272	1519.526003	610.8048253	1924.764686	1237.53035	13597.08781
2245	3947494.562	4412775.623	213394.2233	9396716.276	223088.2651	1589846.252	586066.2165	279783.6916	2469862.849	224970.9385	342793.1083	457339.7035	649981.155	362452.302	251781.2904	487596.3338	549736.5282	943218.073
2444	95105.43974	11745.96182	16564.44717	61034.41631	35809.1732	34866.61119	383316.1655	1474.967935	16787.27703	33598.14301	30148.21302	8659.806782	41008.94363	20258.58772	111860.9369	12993.15484	44775.96141	22878.97192
2448	109623.0913	66943.40295	5834.735822	3387.286979	4650.86294	41397.52729	18260.80232	15138.74157	3406.636866	9880.880208	3681.890974	16082.04256	15797.44752	3512.751451	10585.63487	6938.204188	17881.1441	6469.208791
2467	105637.0642	172389.2619	4113.332923	10545.363	2466.503684	19954.81423	22114.89886	3417.124619	7039.079492	7647.523853	851.4958874	29983.10319	4236.328743	1556.61127	582.0456908	20838.90594	5243.635842	1746.635278
2568	1107226.27	1194800.225	168299.2791	1722801.085	214683.0406	677768.3726	445677.0288	319921.9221	660493.3141	79082.29722	255779.9732	290851.1596	416910.6188	350925.2953	187460.9287	258391.7537	256536.5491	503160.8178
