FeatureID	Compound_Name	mz	mtb_group
4479	Suspect related to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol 	332.2794789	unknown
491	Suspect related to Contaminant vial septum ThermoFisher C5000-44B 	628.1947404	unknown
2733	Suspect related to Spectral Match to Sebacic acid monomethyl ester from NIST14 	243.1590952	fatty acids & other lipids
581	Suspect related to ADENOSINE 	298.0971896	unknown
5	Spectral Match to DL-Phenylalanine from NIST14	166.0863467	amines
1720	Suspect related to trans-13-Octadecenoic acid 	297.2788932	fatty acids & other lipids
3506	Suspect related to Spectral Match to Ile-Glu from NIST14 	288.1919957	amines
2503	Suspect related to Spectral Match to Ile-Glu from NIST14 	288.191992	amines
777	Suspect related to 2-hydroxy-3-(2-hydroxyacetoxy)propyl palmitate 	471.2723034	fatty acids & other lipids
1069	Genistin CollisionEnergy:102040	433.1132369	unknown
575	Spectral Match to Tyr-Pro from NIST14	279.1341225	unknown
83	Spectral Match to Dibutyl phthalate from NIST14	279.159191	unknown
1179	Suspect related to Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14 	573.3037026	fatty acids & other lipids
1169	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14	544.3371377	phosphocholines
2219	Suspect related to 10E,12Z-octadecadienoic acid 	293.2475338	fatty acids & other lipids
3971	Suspect related to Sulfamethoxazole 	311.0808587	unknown
142	Suspect related to 0327_Tris(1-chloro-2-propyl)phosphate 	329.0053644	unknown
2805	Candidate Trihydroxylated bile acid (delta mass -0.9837; sirius atomic difference: 1H, 1N, -1O; buddy atomic difference: 1H, 1N, -1O)	408.3109539	bile acids
2732	Suspect related to NCGC00164361-03!decanedioic acid 	229.1435551	fatty acids & other lipids
46	Suspect related to NCGC00164361-03!decanedioic acid 	229.1435929	fatty acids & other lipids
351	Suspect related to 1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine 	462.2591351	unknown
3315	Suspect related to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol 	228.1958595	fatty acids & other lipids
3180	Suspect related to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol 	228.1959873	fatty acids & other lipids
44	Suspect related to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol 	228.1958565	fatty acids & other lipids
3936	Suspect related to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol 	228.1958614	fatty acids & other lipids
4211	Suspect related to taurocholic acid 	533.3249358	bile acids
648	Candidate Trihydroxylated bile acid (delta mass 17.0267; buddy atomic difference: 3H, 1N; spectral library match to CCMSLIB00003139133, Spectral Match to Cholic acid from NIST14)	426.3214844	bile acids
1774	KYNURENATE	190.0499206	unknown
455	Suspect related to BILIVERDIN 	585.2701674	unknown
3418	Suspect related to Spectral Match to 5-Hydroxy-7-methoxyflavanone from NIST14 	287.0914792	unknown
2328	Spectral Match to Ile-Pro-Ile from NIST14	342.2389628	amines
438	Suspect related to Contaminant vial septum ThermoFisher C5000-44B 	554.175998	unknown
568	Suspect related to Spectral Match to His-Ile from NIST14 	263.142764	amines
3950	Suspect related to S-Hydroprene 	253.1952224	unknown
579	Suspect related to L-Tyrosine 	295.1655366	amines
4117	Suspect related to Spectral Match to Lauroyl L-carnitine from NIST14 	426.3578683	carnitines
113	Suspect related to Sulfamethoxazole 	311.0807259	unknown
3087	Suspect related to Dimethyl azelate 	203.1277981	unknown
793	Suspect related to Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14 	520.3400964	phosphocholines
1264	Suspect related to 10E,12Z-octadecadienoic acid 	293.2475859	fatty acids & other lipids
739	Suspect related to Ser-Leu 	332.2180541	amines
1167	Suspect related to 1-Palmitoyl-sn-glycero-3-phosphocholine 	542.3214908	phosphocholines
110	Suspect related to 1.alpha.-Methyl-5.alpha.-androstan-3.alpha.-ol-17-one glucuronide 	309.2577316	unknown
4007	Suspect related to 1-Palmitoylglycerol 	343.295692	unknown
2271	Suspect related to Taurocholic Acid Sulfate 	613.2823427	bile acids
576	Spectral Match to Tyr-Pro from NIST14	279.1341295	unknown
828	Suspect related to Asp-Ile 	243.1340983	amines
667	Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14	482.3609982	phosphocholines
1184	Candidate Trihydroxylated bile acid (delta mass 177.0635; sirius atomic difference: 1C, 11H, 3N, 7O; buddy atomic difference: 7C, 7H, 5N, 1O)	586.3590094	bile acids
157	Suspect related to 1-Palmitoylglycerol 	343.2956597	unknown
1172	Suspect related to 1-Hexadecanoyl-2-sn-glycero-3-phosphate 	555.293464	fatty acids & other lipids
89	Suspect related to sphingosin C16 (Artifact)-emf 	290.2690444	unknown
2006	Suspect related to Spectral Match to Val-Leu from NIST14 	279.1705727	amines
1570	PHENYLACETYL-GLUTAMINE	265.1184483	unknown
3108	Suspect related to 10E,12Z-octadecadienoic acid 	293.2475454	fatty acids & other lipids
3681	Suspect related to Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate 	344.2798416	carnitines
3733	Suspect related to Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14 	440.2773162	fatty acids & other lipids
318	Suspect related to Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14 	440.2774221	fatty acids & other lipids
4238	Spectral Match to Bilirubin from METLIN	585.2705516	unknown
2175	Suspect related to taurocholic acid 	516.2993171	bile acids
388	Suspect related to Spectral Match to 1-Hexadecanoyl-2-sn-glycero-3-phosphate from NIST14 	495.3083924	unknown
4189	Suspect related to (R)-4-((3R,5R,7R,8R,9S,10S,12S,13R,14S,17R)-7,12-dihydroxy-10,13-dimethyl-3-(sulfooxy)hexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid 	506.2780762	bile acids
515	Candidate Dihydroxylated bile acid (delta mass 392.2922; sirius atomic difference: 24C, 40H, 4O; buddy atomic difference: 24C, 40H, 4O; spectral library match to CCMSLIB00005435508, deoxycholic acid)	785.592482	bile acids
204	Suspect related to PALMITOYLCARNITINE 	371.3268883	unknown
1751	Candidate Trihydroxylated bile acid (delta mass -3.9946; sirius atomic difference: 1C, -1O; buddy atomic difference: 1C, -1O)	405.3000746	bile acids
288	Suspect related to Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate 	426.3579275	carnitines
2917	Candidate Trihydroxylated bile acid (delta mass -0.9837; sirius atomic difference: 1H, 1N, -1O; buddy atomic difference: 1H, 1N, -1O)	408.3109674	bile acids
2356	Massbank:LU030103 Formononetin|7-hydroxy-3-(4-methoxyphenyl)chromen-4-one	269.0809801	unknown
598	Suspect related to Ser-Leu 	332.2180616	amines
415	Suspect related to 2-((3R)-3-((3R,5S,7R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)butanamido)ethane-1-sulfonic acid 	519.3102297	bile acids
3909	Suspect related to Spectral Match to Methyl hexadecanoate from NIST14 	163.1480809	unknown
15	Spectral Match to L-Tryptophan from NIST14	188.0707236	unknown
604	Suspect related to Spectral Match to Hexaethylene glycol from NIST14 	344.2282922	glycols
2414	Suspect related to Phytomonic acid 	339.2896148	fatty acids & other lipids
4203	Suspect related to 1-Oleoyl-sn-glycero-3-phosphocholine 	524.3711716	phosphocholines
3915	Spectral Match to L-Tryptophan from NIST14	188.0707001	unknown
286	Suspect related to (R)-4-((3R,5R,8S,9S,10R,13R,14S,17R)-3-hydroxy-10,13-dimethyl-6-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid 	426.3214476	bile acids
2840	Suspect related to Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14 	540.3055624	phosphocholines
397	Suspect related to taurohyodeoxycholic acid 	500.3044869	bile acids
2832	Suspect related to taurohyodeoxycholic acid 	500.3046021	bile acids
3157	Candidate Dihydroxylated bile acid (delta mass 374.2821; sirius atomic difference: 24C, 38H, 3O; buddy atomic difference: 24C, 38H, 3O)	767.5819766	bile acids
4312	Suspect related to Spectral Match to Sebacic acid monomethyl ester from NIST14 	243.1592272	fatty acids & other lipids
1471	Suspect related to Spectral Match to 1-Stearoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14 	518.3241347	phosphocholines
2435	Suspect related to Jasmine lactone 	215.1280084	fatty acids & other lipids
693	Suspect related to Spectral Match to Bilirubin from METLIN 	584.2628878	unknown
4324	Suspect related to 3,6,9,12,15-Pentaoxaheptacosan-1-ol, hydrogen sulfate 	592.3725292	unknown
3631	Suspect related to 2-((4R)-4-((3R,5R,6S,9S,10R,13R,14S,17R)-3,6-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid 	517.3308429	bile acids
791	Suspect related to 2-((4R)-4-((3R,5R,6S,9S,10R,13R,14S,17R)-3,6-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid 	517.3309188	bile acids
792	Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14	518.3216819	phosphocholines
750	Suspect related to Massbank:NA002839 8-Prenylnaringenin|(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one 	379.1180021	unknown
749	Suspect related to Massbank:NA002839 8-Prenylnaringenin|(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-8-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one 	379.1179728	unknown
516	Candidate Dihydroxylated bile acid (delta mass 409.3193; sirius atomic difference: 16C, 35H, 13N; buddy atomic difference: 24C, 43H, 1N, 4O)	802.6185183	bile acids
86	Suspect related to Massbank:LU030803 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol 	288.2533403	unknown
467	Suspect related to taurocholic acid 	596.2557051	bile acids
2759	Suspect related to Spectral Match to Glu-Val-Phe from NIST14 	295.1292126	unknown
4200	Suspect related to taurohyodeoxycholic acid 	517.3309656	bile acids
894	Suspect related to Cholic acid 	817.5821148	bile acids
4245	Suspect related to taurocholic acid 	596.2555233	bile acids
896	Spectral Match to Cholic acid from NIST14	839.563945	unknown
419	Suspect related to 1-Oleoyl-sn-glycero-3-phosphocholine 	524.3711662	phosphocholines
3778	Suspect related to Spectral Match to Ile-Arg from NIST14 	286.1764115	amines
4186	Suspect related to taurocholic acid 	498.2887667	bile acids
