FeatureID	mz	RT	mtb_group
1	160.0970046	1.103681402	unknown
2	165.0908821	9.540894595	unknown
3	165.1274632	3.504209757	unknown
4	165.1274591	3.559652724	unknown
5	166.0863467	0.513732165	amines
6	167.0855274	4.194322259	unknown
7	172.0969347	1.938170023	unknown
8	174.112595	2.532040875	fatty acids & other lipids
9	176.0918416	0.577403761	unknown
10	180.0656709	1.67254051	unknown
11	180.1017792	3.94230422	unknown
12	180.1019327	3.462147878	unknown
13	181.0609277	1.168458959	unknown
14	186.1125621	2.962512561	fatty acids & other lipids
15	188.0707236	1.11440611	unknown
16	188.074163	1.593167543	unknown
17	188.0917918	0.517962708	fatty acids & other lipids
18	189.1234275	0.595447007	amines
19	192.1382491	5.010791151	unknown
20	194.0813218	2.083694144	unknown
21	197.1536284	5.294894147	unknown
22	199.169228	5.770861033	unknown
23	200.1281201	3.68122035	fatty acids & other lipids
24	202.2164908	4.854016866	unknown
25	203.1391433	0.562411276	amines
26	205.0973447	1.118851886	unknown
27	206.0449963	1.340048328	unknown
28	213.0734676	1.823573056	unknown
29	216.0633834	2.076717135	fatty acids & other lipids
30	217.1072785	2.726279696	unknown
31	217.1548351	0.551685478	unknown
32	218.0765837	2.545183733	unknown
33	218.1389276	3.022249669	fatty acids & other lipids
34	218.2115952	3.520534945	unknown
35	219.1340644	0.540548182	amines
36	219.1381386	3.37395401	carnitines
37	220.0640434	2.777311865	unknown
38	220.1181508	0.595343648	unknown
39	220.1368239	3.455637081	unknown
40	222.0797095	0.559416753	unknown
41	226.1439856	2.456251651	fatty acids & other lipids
42	226.1439466	2.555263605	fatty acids & other lipids
43	226.1801489	4.916214179	fatty acids & other lipids
44	228.1958565	9.693738796	fatty acids & other lipids
45	229.0974121	2.175840263	unknown
46	229.1435929	3.545439999	fatty acids & other lipids
47	230.2479631	5.907388954	unknown
48	231.1340346	0.51918753	unknown
49	231.1705775	0.903856325	amines
50	231.1705628	1.498726925	unknown
51	232.9857247	2.222777138	unknown
52	233.0922461	2.617832805	unknown
53	233.1496914	0.571377212	amines
54	238.0452474	2.087426869	unknown
55	239.1391946	2.126886675	unknown
56	240.2322192	5.775162853	unknown
57	242.0999949	0.597884242	unknown
58	244.1907176	4.916052489	fatty acids & other lipids
59	244.1907673	9.740374676	fatty acids & other lipids
60	245.095715	3.170318609	unknown
61	245.1862162	1.908060547	unknown
62	246.2428292	4.831749974	unknown
63	248.1679681	4.643348803	fatty acids & other lipids
64	250.038284	0.963997567	unknown
65	250.1121846	4.658238113	unknown
66	250.1779035	5.488869685	unknown
67	251.0486881	1.736759475	unknown
68	256.1695898	4.194421234	unknown
69	258.2792901	6.877548964	unknown
70	262.1111993	1.640487333	unknown
71	262.2377507	4.986107176	unknown
72	267.1720923	7.575439005	unknown
73	267.1743591	4.218022632	unknown
74	269.1902547	5.331530255	unknown
75	269.2588366	6.861928856	unknown
76	270.279144	9.307352594	unknown
77	274.1110671	2.204694947	unknown
78	274.2741514	5.871721764	unknown
79	275.1640469	3.856720035	unknown
80	275.2582002	8.632034583	glycols
81	276.1267504	2.410167586	unknown
82	279.0935665	5.53687381	unknown
83	279.159191	8.20284341	unknown
84	281.1729464	2.974113881	unknown
85	281.1729194	3.279935075	unknown
86	288.2533403	6.691771862	unknown
87	289.09739	2.452269409	unknown
88	290.1599074	0.570804347	unknown
89	290.2690444	5.990179242	unknown
90	291.1705829	3.15129874	bilirubins
91	291.17059	3.1146561	bilirubins
92	291.2530826	7.664503557	glycols
93	294.2065431	7.835623155	unknown
94	295.0784361	2.181265678	unknown
95	295.2268511	8.096485484	fatty acids & other lipids
96	297.1809366	2.711874599	unknown
97	297.1850444	5.190756448	unknown
98	299.200741	7.223936522	unknown
99	300.2897695	8.712897725	unknown
100	301.1411217	8.219157734	unknown
