CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2639	2642	2	0.7558	-104.026
2640	2642	2	0.8525	-42.010
2492	2640	2	0.8346	-30.010
2492	2641	2	0.8413	-42.010
2641	2642	2	0.8493	-30.011
1234	2639	2	0.8902	30.011
3546	4049	3	0.9044	0.000
319	342	4	0.873	-14.016
2049	4350	5	0.9207	15.000
990	3694	5	0.9526	18.011
2660	3985	5	0.81	-33.022
134	3985	5	1.0	0.000
977	2219	5	0.8933	3.995
2736	2754	5	0.8202	-32.026
134	3445	5	0.8344	-12.000
2219	3552	5	0.9783	-0.000
2974	3694	5	0.9205	0.000
2746	3598	5	0.9028	-28.031
967	3430	5	0.9298	0.000
3430	3678	5	0.9337	-0.000
1261	3108	5	0.9052	-14.016
977	3552	5	0.9229	3.995
967	3108	5	0.9185	-14.016
3253	4350	5	0.9028	14.016
3056	3096	5	0.8059	47.074
2040	2049	5	0.9418	-14.016
977	3096	5	0.9051	28.031
968	3678	5	0.9397	0.000
3108	3552	5	0.9711	-0.000
3108	3480	5	0.9549	0.000
1261	3480	5	0.8828	-14.016
2219	3430	5	0.9205	14.016
952	997	5	0.8622	-61.053
952	3955	5	0.8657	-2.016
967	1261	5	0.9298	-0.000
964	970	5	0.8077	-4.031
3056	3101	5	0.8195	29.063
134	997	5	0.8827	2.016
1491	2049	5	0.909	300.230
1261	1264	5	0.9102	-14.016
1720	3985	5	0.8717	-29.026
333	2520	5	0.9005	109.074
968	3108	5	0.9092	-14.016
977	3694	5	0.9759	0.000
2414	3985	5	0.9172	12.984
2040	4350	5	0.928	0.984
95	1392	5	1.0	0.000
990	4350	5	0.9305	-17.026
2049	2588	5	0.8934	36.021
134	2660	5	0.81	33.022
1264	2219	5	0.9706	0.000
2808	4350	5	0.8744	84.057
970	2736	5	0.8915	28.031
2459	4213	5	0.8173	-203.131
952	3242	5	0.9025	0.000
2754	2757	5	0.828	-3.995
1685	2414	5	0.8721	109.074
990	3101	5	0.9253	28.031
1262	1720	5	0.8709	-14.016
969	990	5	0.9284	-36.021
1001	2588	5	0.8934	18.010
968	1261	5	0.9395	0.000
1261	3430	5	1.0	0.000
970	2971	5	0.9488	-0.000
3940	3991	5	0.8081	-88.994
1030	2795	5	0.8387	-27.995
990	2049	5	0.9519	-32.026
3515	3518	5	0.981	-14.016
970	2746	5	0.8277	10.021
3256	3266	5	0.8403	-35.038
134	3955	5	0.8842	61.053
592	3056	5	0.8822	2.016
969	2974	5	0.8901	-18.010
1261	2219	5	0.9205	-14.016
2746	3515	5	0.8179	-46.042
1264	3430	5	0.9102	14.016
2736	2746	5	0.8863	-18.011
1491	2795	5	0.8448	259.204
1030	3253	5	0.8397	14.016
1685	3955	5	0.8468	183.111
333	1685	5	0.8264	2.015
1391	3107	5	0.8967	0.000
2040	3694	5	0.9221	36.021
2040	2588	5	0.9158	22.005
2746	2754	5	0.8651	-14.016
1491	2808	5	0.8382	231.172
2974	3096	5	0.9171	28.031
1030	2040	5	0.8809	27.047
2748	3985	5	0.8142	-49.122
2772	3263	5	0.8256	-42.995
997	4054	5	0.8568	-54.935
2795	4350	5	0.8915	56.026
3252	4029	5	0.8492	-23.941
3108	3678	5	0.9153	14.016
2414	3955	5	0.9255	74.037
2736	2971	5	0.8707	-28.031
917	3030	5	0.8939	-14.016
1001	4350	5	0.9594	-3.011
2049	2800	5	0.8905	-53.974
1491	4350	5	0.88	315.230
2221	2971	5	0.8947	14.016
969	2588	5	0.9085	-32.026
990	2040	5	0.9608	-18.010
3096	3694	5	0.9078	-28.031
1030	4350	5	0.9335	28.031
134	1685	5	0.8224	-122.058
969	3430	5	0.869	0.000
2971	3515	5	0.8349	-36.021
997	3252	5	0.8599	-12.984
216	4052	5	0.9647	0.000
917	926	5	0.8607	-12.000
968	2219	5	0.9344	-14.016
2520	2527	5	0.9483	-17.026
1182	2757	5	0.8557	294.256
1261	3552	5	0.9116	-14.016
1262	2736	5	0.8602	30.047
2973	3107	5	0.8048	0.000
2414	2660	5	0.8409	46.006
2746	2971	5	0.8695	-10.021
2221	4054	5	0.8186	-83.962
1685	3985	5	0.8224	122.058
2757	3598	5	0.8097	-10.021
2660	3955	5	0.8665	28.031
3678	4052	5	0.8495	-98.998
970	2221	5	0.9053	-14.016
2049	2772	5	0.8605	18.995
1001	2049	5	0.9546	-18.011
546	3940	5	0.8026	-18.010
969	1261	5	0.869	0.000
333	2527	5	0.9312	92.047
3991	4354	5	0.9386	0.000
917	967	5	0.8437	-56.062
1030	1491	5	0.8502	-287.198
963	970	5	0.8077	-4.031
2049	2795	5	0.8693	-41.026
1264	3678	5	0.9152	14.016
2971	3518	5	0.8457	-50.037
970	1262	5	0.8398	-2.016
3256	3680	5	0.8472	24.983
997	4029	5	0.8483	-36.924
963	1392	5	0.9041	-18.010
977	2588	5	0.9218	-14.016
969	3694	5	0.943	-18.010
134	2414	5	0.9172	-12.984
1001	2795	5	0.8796	-59.037
2459	4082	5	0.8135	-62.978
967	3552	5	0.9069	-14.016
3257	4029	5	0.8471	-5.931
2772	3256	5	0.8472	-24.983
2588	3694	5	0.8931	14.016
3108	3430	5	0.9052	14.016
968	1264	5	0.9119	-14.016
630	2660	5	0.8115	100.994
964	1392	5	0.9041	-18.010
1637	3940	5	0.8298	143.095
2414	3252	5	0.8529	2.016
95	963	5	0.9041	18.011
970	3518	5	0.8025	-50.037
3955	3985	5	0.8842	-61.053
1491	2468	5	0.8478	269.188
2971	3598	5	0.8961	-18.011
1030	2808	5	0.8698	-56.026
2772	3266	5	0.8406	-60.021
2221	3515	5	0.8235	-22.006
1491	2459	5	0.8343	314.246
2221	2754	5	0.819	10.021
967	1264	5	0.891	-14.016
1182	2746	5	0.8282	312.266
95	964	5	0.9041	18.011
2520	3252	5	0.8132	4.032
1264	2974	5	0.8771	-3.995
1262	2971	5	0.8341	2.016
2459	4052	5	0.8493	-44.967
216	1845	5	0.8282	-14.016
1685	1720	5	0.8192	151.085
134	2748	5	0.8142	49.122
2660	3030	5	0.8098	56.099
990	1001	5	0.9715	-14.016
630	3955	5	0.8095	129.025
2219	3108	5	0.953	0.000
977	990	5	0.9645	-18.011
2414	3445	5	0.8598	0.984
2219	2974	5	0.8904	-3.995
134	1720	5	0.8717	29.026
2772	3680	5	1.0	0.000
977	3108	5	0.8968	3.995
3266	3680	5	0.8406	60.021
2746	2757	5	0.8719	-18.011
3445	3985	5	0.8344	12.000
963	964	5	1.0	0.000
2221	3518	5	0.8512	-36.021
2049	3680	5	0.8605	18.995
2660	3242	5	0.8259	30.047
3252	3257	5	0.8078	-18.009
1264	3552	5	0.9535	0.000
970	3598	5	0.846	-18.011
997	3985	5	0.8827	-2.016
969	3096	5	0.8746	10.021
2660	3981	5	0.8307	-28.031
3257	4054	5	0.8656	-23.942
968	3430	5	0.9395	0.000
967	3480	5	0.8993	-14.016
2040	2459	5	0.8796	-0.000
95	2973	5	0.8186	2.016
967	968	5	0.8908	-0.000
1720	2414	5	0.8384	-42.011
990	2588	5	0.9453	3.995
997	3242	5	0.8278	61.053
3515	3598	5	0.8695	18.011
546	3955	5	0.8149	-42.083
3430	3480	5	0.8828	-14.016
2219	3480	5	0.9511	0.000
2588	2800	5	0.8747	-89.995
3263	3680	5	0.8256	42.995
3518	3598	5	0.8937	32.026
216	2459	5	0.8384	44.967
997	3257	5	0.9028	-30.993
967	3678	5	0.8919	-0.000
1001	3253	5	0.8742	-17.027
1264	3480	5	0.9174	0.000
1001	1030	5	0.9134	-31.042
3480	3552	5	0.9649	-0.000
2795	2808	5	0.918	-28.031
3430	3552	5	0.9116	-14.016
738	4354	5	0.992	0.000
2221	3257	5	0.8044	-60.020
1392	2973	5	0.8186	2.016
3552	3678	5	0.9339	14.016
1720	3445	5	0.8566	-41.027
1491	2040	5	0.9053	314.246
1001	2040	5	0.9548	-3.995
1261	3678	5	0.9337	0.000
3096	3101	5	0.9362	-18.010
