sample_name,filepath
1.mzML,1.mzML
10.mzML,10.mzML
100.mzML,100.mzML
101.mzML,101.mzML
102.mzML,102.mzML
103.mzML,103.mzML
104.mzML,104.mzML
105.mzML,105.mzML
106.mzML,106.mzML
107.mzML,107.mzML
108.mzML,108.mzML
109.mzML,109.mzML
11.mzML,11.mzML
110_hzy.mzML,110_hzy.mzML
111.mzML,111.mzML
112.mzML,112.mzML
113.mzML,113.mzML
114.mzML,114.mzML
115.mzML,115.mzML
116.mzML,116.mzML
117.mzML,117.mzML
118.mzML,118.mzML
119.mzML,119.mzML
12.mzML,12.mzML
120.mzML,120.mzML
121.mzML,121.mzML
122.mzML,122.mzML
123.mzML,123.mzML
124.mzML,124.mzML
125.mzML,125.mzML
126.mzML,126.mzML
127.mzML,127.mzML
128.mzML,128.mzML
129.mzML,129.mzML
13.mzML,13.mzML
130.mzML,130.mzML
131.mzML,131.mzML
132.mzML,132.mzML
133.mzML,133.mzML
134.mzML,134.mzML
135.mzML,135.mzML
136.mzML,136.mzML
137.mzML,137.mzML
138.mzML,138.mzML
139.mzML,139.mzML
14.mzML,14.mzML
140.mzML,140.mzML
141.mzML,141.mzML
142.mzML,142.mzML
15.mzML,15.mzML
16.mzML,16.mzML
17.mzML,17.mzML
18.mzML,18.mzML
19.mzML,19.mzML
2.mzML,2.mzML
20.mzML,20.mzML
21.mzML,21.mzML
22.mzML,22.mzML
23.mzML,23.mzML
24.mzML,24.mzML
25.mzML,25.mzML
26.mzML,26.mzML
27.mzML,27.mzML
28.mzML,28.mzML
29.mzML,29.mzML
3.mzML,3.mzML
30.mzML,30.mzML
31.mzML,31.mzML
32.mzML,32.mzML
33.mzML,33.mzML
34.mzML,34.mzML
35.mzML,35.mzML
36.mzML,36.mzML
37.mzML,37.mzML
38.mzML,38.mzML
39.mzML,39.mzML
4.mzML,4.mzML
40.mzML,40.mzML
41.mzML,41.mzML
42.mzML,42.mzML
43.mzML,43.mzML
44.mzML,44.mzML
45.mzML,45.mzML
46.mzML,46.mzML
47.mzML,47.mzML
48.mzML,48.mzML
49.mzML,49.mzML
5.mzML,5.mzML
50.mzML,50.mzML
51.mzML,51.mzML
52.mzML,52.mzML
53.mzML,53.mzML
54.mzML,54.mzML
55.mzML,55.mzML
56.mzML,56.mzML
57.mzML,57.mzML
58.mzML,58.mzML
59.mzML,59.mzML
6.mzML,6.mzML
60.mzML,60.mzML
61.mzML,61.mzML
62.mzML,62.mzML
63.mzML,63.mzML
64.mzML,64.mzML
65.mzML,65.mzML
66.mzML,66.mzML
67.mzML,67.mzML
68.mzML,68.mzML
69.mzML,69.mzML
7.mzML,7.mzML
70.mzML,70.mzML
71.mzML,71.mzML
72.mzML,72.mzML
73.mzML,73.mzML
74.mzML,74.mzML
75.mzML,75.mzML
76.mzML,76.mzML
77.mzML,77.mzML
78.mzML,78.mzML
79.mzML,79.mzML
8.mzML,8.mzML
80.mzML,80.mzML
81.mzML,81.mzML
82.mzML,82.mzML
83.mzML,83.mzML
84.mzML,84.mzML
85.mzML,85.mzML
86.mzML,86.mzML
87.mzML,87.mzML
88.mzML,88.mzML
89.mzML,89.mzML
9.mzML,9.mzML
90.mzML,90.mzML
91.mzML,91.mzML
92.mzML,92.mzML
93.mzML,93.mzML
94.mzML,94.mzML
95.mzML,95.mzML
96.mzML,96.mzML
97.mzML,97.mzML
98.mzML,98.mzML
99.mzML,99.mzML
blank_start_t2_1.mzML Peak area,blank_start_t2_1.mzML Peak area
blank_start_t2_2.mzML Peak area,blank_start_t2_2.mzML Peak area
blank_start_t2_3.mzML Peak area,blank_start_t2_3.mzML Peak area
extract_blank_1.mzML Peak area,extract_blank_1.mzML Peak area
extract_blank_2.mzML Peak area,extract_blank_2.mzML Peak area
extract_blank_3.mzML Peak area,extract_blank_3.mzML Peak area
extract_blank_4.mzML Peak area,extract_blank_4.mzML Peak area
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
