row ID	113.mzML Peak area	114.mzML Peak area	115.mzML Peak area	116.mzML Peak area	117.mzML Peak area	118.mzML Peak area	119.mzML Peak area	120.mzML Peak area	121.mzML Peak area	122.mzML Peak area	123.mzML Peak area	29.mzML Peak area	30.mzML Peak area	31.mzML Peak area	32.mzML Peak area	33.mzML Peak area
1	5026.011548	54687.36099	86040.07177	4788022.828	6353372.298	1682900.987	2664312.406	2819739.547	4041498.697	1291019.993	1891944.313	1030223.176	16419.37375	4939397.57	18148.40858	27542.55345
2	90262.77108	190796.8046	231148.454	252638.273	207956.3974	74357.65828	341848.6279	451891.2726	236490.7893	453230.7271	406215.7138	240700.3443	172532.8678	240075.2781	268921.7154	269322.4596
3	1747183.586	3251537.833	540641.7978	399777.5887	1217314.885	682664.291	376343.1283	853371.1804	451248.536	592383.7332	613645.2045	1053426.053	1326025.265	761391.3343	1298286.891	1018500.888
4	3078613.435	4199644.632	457612.1854	399777.5887	1084454.795	595849.6611	516007.3488	791851.5187	618223.936	592383.7332	822585.2761	1203365.46	2461921.835	916558.7975	2885287.509	1961621.101
5	19100000	32500000	32300000	11900000	33400000	19900000	3877990.216	6363585.238	18200000	36100000	3082841.081	43600000	24500000	49800000	19800000	9002752.137
6	3059340.472	2954372.265	1842932.612	2690913.033	3358092.549	3115223.685	3146667.582	3544807.677	2850603.227	3243833.585	3216820.957	2814600.761	4722219.251	2615563.698	3241855.671	3698824.406
7	7718.115243	40753.36613	6793.548414	3238939.102	3298174.437	719285.599	1132828.534	896517.3427	2292409.053	892938.6426	945124.2188	930958.7078	9176.606004	1804879.388	8615.658333	12720.61901
8	20217.3235	134954.6887	85392.83782	9759191.184	7120673.941	1997045.864	2748728.704	3346785.972	6772116.688	3484549.921	3156887.395	2066131.996	7456.190537	7251526.489	10098.69716	26677.38009
9	43881.27173	75823.6707	25520.40368	1467280.146	735345.3185	326682.9871	294183.4594	560159.864	779959.2657	1162331.421	251091.8003	616558.953	118105.0352	3175015.499	25069.75339	32521.23798
10	3764.1989	18975.94148	3847.522136	1030700.125	2341444.297	797379.7457	797369.1178	792923.286	416432.5924	1265406.217	746979.9514	568963.3689	9798.552766	2311256.204	1128.951085	3924.85266
11	495325.2278	550158.3244	130630.7302	220497.501	1299585.456	150556.0109	426600.9296	634653.7378	695534.2915	732753.0728	774299.0171	574510.9061	110501.6294	719518.8674	173878.9613	153386.2464
12	3433638.471	2464247.112	1315193.398	628588.6333	2815941.349	853310.9896	651588.1083	1123149.986	1658307.156	1435736.246	1396602.715	693943.4436	2442163.994	581968.4969	751389.3343	1004035.905
13	1318.51922	10020.84639	5046.717465	1925058.275	4885478.203	1017564.006	1172548.292	1194028.539	1519499.539	1580741.304	739397.9418	699770.929	1691.055746	3948543.736	1976.373631	2512.47042
14	2256.226889	39339.01768	18978.62409	2725447.044	1086317.749	350945.5422	886861.3213	652351.0015	1939509.652	639525.9723	770479.7171	308118.0373	14284.06079	771631.5511	10704.30128	17743.06978
15	5454682.516	9179445.386	19300000	5234828.739	8051647.472	11100000	1705590.224	2106806.577	3050428.824	12300000	1665125.216	23500000	20200000	19500000	6701790.49	3626429.33
16	25271.00961	112499.7895	460033.5459	4130613.993	5884527.883	3356115.019	1844226.312	1396549.147	2513351.467	2171846.771	1540619.334	1639571.357	24669.43777	6617380.694	9282.764309	7952.325942
17	693060.979	1239090.951	255735.6119	4148861.252	4064141.865	913907.5877	2429842.003	3371443.077	4907132.733	2401207.008	2540610.465	754352.1701	774484.0823	3620696.192	806098.1737	326044.8516
18	2238630.15	3765130.296	922232.8605	1904803.312	9983962.522	2057416.801	425446.9775	1865656.958	3213588.593	13200000	558077.0148	2446022.974	2217980.943	6237048.168	2148512.36	529932.471
19	3771870.416	3783330.537	2822901.27	3429200.076	4542706.628	3436099.07	3694485.909	4304673.415	3471963.808	3981953.689	4101578.391	3977661.489	3842766.807	3404515.881	3243424.491	3164580.486
20	11413.91199	307627.1569	238485.6361	28900000	68900000	14400000	11100000	16400000	23200000	11300000	6781190.219	4374941.545	67968.83842	27700000	30312.45307	69311.47988
21	1441602.074	4750883.6	306173.9533	569678.543	3159601.384	1309869.072	242073.2831	346420.9922	564579.142	2181892.349	309974.9974	1187731.497	1918798.67	1454002.337	817445.9196	64243.33099
22	2218894.038	6072490.836	484558.4064	1416115.196	5331669.09	1050085.813	645982.6073	581711.9444	1345333.73	3900084.09	852794.5882	1333399.705	1861064.878	1649687.058	1642782.711	173290.8708
23	3200.191799	14464.35726	7731.812279	1121575.169	4777760.789	665575.6257	511710.2017	572875.4528	775288.5296	1254816.486	381046.7655	859750.7386	14062.8383	5896721.631	3472.451874	14158.55798
24	412091.2743	389648.5584	398232.3424	473231.6504	351972.2847	175556.3843	347311.8353	369563.6879	709762.6402	400528.2925	409361.3024	372869.7762	366369.5094	359148.9827	382793.6327	312049.64
25	8166182.737	13200000	2218205.138	3004552.757	1.7e+07	3131361.798	962800.8649	4060221.995	5902296.274	1.8e+07	1681881.065	10900000	7364577.125	11300000	7802027.462	3999459.061
26	3598345.538	6115487.725	12700000	3472975.128	5336229.577	7294871.834	1096919.945	1385489.963	1960177.164	7994301.833	1056075.002	15200000	13100000	12800000	4426799.941	2357885.671
27	17111.32203	603489.8755	566187.3099	1893252.444	6130476.894	8875059.761	1636036.686	3240759.231	3461186.054	3526743.203	1276326.667	2223712.861	246980.4718	6831648.129	55368.48257	43253.24089
28	1746526.339	3495241.432	742695.6631	222384.7663	295794.1857	120041.3685	2202133.829	1585891.102	1023237.053	351483.5756	2125516.324	89765.92883	383036.0432	178569.8701	56411.34434	350997.9214
29	587.9776333	25192.64334	9809.516577	3994168.686	13400000	1927029.87	1218515.769	2265300.451	3316741.264	1768413.517	804487.2542	683257.2532	1009.2255	4850125.805	1419.913234	2632.032854
30	1037241.037	1418883.182	583696.5907	805670.298	933133.0936	906956.6003	846690.6319	869485.075	699403.1727	732257.3793	874506.7375	831835.1646	1187502.716	565621.9277	862031.3872	722619.7432
31	7698380.055	9522487.6	1301827.305	2015963.479	14400000	2412942.67	1205260.122	4437601.895	3276554.382	11800000	2701440.869	6308892.302	2541803.278	9662166.907	1524945.829	2848309.662
32	0	12060.97468	24112.27687	2092809.032	873799.672	484043.5402	721759.9144	807787.7593	1490336.775	729098.1716	821894.6484	372736.3691	0	1031518.372	1041.160316	5668.733617
33	3546.711368	59083.34537	26280.26475	1592400.224	1418072.436	390789.6794	754425.2736	910559.0625	1613921.086	1096529.746	820468.8832	588232.9169	7149.157917	1550155.889	2984.601422	11219.57029
34	7430758.75	7715855.871	7195600.209	7028719.693	7117885.108	7110992.466	7102247.893	7047363.946	9304041.547	6945649.06	7481621.365	7368209.449	7343239.488	7060605.706	7310510.777	7393489.009
35	2958393.964	5376280.548	2354794.556	2701583.984	13500000	2778712.048	529851.1909	2621311.889	4039972.93	16300000	1204658.144	7612503.441	4877292.275	9693554.321	4234580.92	2990112.615
36	7681507.275	8228204.758	1523129.74	1165456.742	5838653.335	2287608.19	973576.0148	1763123.175	1509160.068	1499252.47	1795273.533	5470952.679	6433262.523	3831343.008	4515854.086	3344280.924
37	39887.82831	102845.888	574586.2121	2160634.491	6334055.087	2570179.101	1032346.628	1780361.225	2366750.585	1460190.871	868410.4509	1003005.906	13832.40521	4991018.893	2456.094263	2737.224684
38	11800000	9014893.567	738631.3029	1392993.025	17700000	4888190.327	4081401.191	8425141.353	6895097.631	7149269.517	3238515.23	4385665.784	5609047.213	21900000	4593332.024	5306944.853
39	90642.0139	328068.8106	63544.24016	1212695.514	2117182.986	409364.5557	544254.8982	864368.719	1219947.737	721580.632	646360.6076	671492.5797	145131.2478	1642082.169	35427.9965	33282.21278
40	28152.99124	103468.2189	27147.69758	1587632.098	1204018.131	819123.6006	140887.1685	437285.4593	1018137.776	539467.8613	104601.0562	635830.7636	113246.5241	2718342.455	9228.084752	5036.552835
41	41756.26092	100598.9121	443114.8891	1984360.45	4933523.089	869064.9496	628203.2949	684885.3728	1892539.527	1215806.056	570749.8458	937405.2977	13896.80999	3631012.443	8991.701744	4288.499566
42	83593.12323	100598.9121	965337.6431	2343593.065	4755492.482	760234.2043	634592.4833	762466.4241	1757229.708	1265232.761	565416.9134	1180864.52	93259.31843	3750428.711	26968.43584	43463.98152
43	3045135.138	2726636.279	3240409.608	2601584.067	2919959.456	2415513.539	3016944.816	3142513.734	2541897.916	2490820.158	2665724.009	5877396.01	5117584.823	3162905.975	3775460.626	4153185.151
44	6812894.541	6594980.021	6548756.838	6950030.343	6855532.433	7222353.806	8717692.82	15600000	4597285.25	5308124.571	5294392.296	2997959.87	454923.8122	1385761.052	1050431.536	1352449.198
45	1834209.925	2244852.714	578403.3959	569716.1987	1678797.662	641017.8055	492229.7847	893388.5171	702783.8726	1027385.327	848668.4125	1537846.093	2177172.957	1501776.888	2051325.37	1350072.785
46	3283300.679	6910474.377	663236.2941	414956.9104	2073864.564	2076979.901	1254094.858	1862220.017	923811.7524	1995411.328	1311477.546	976653.9187	780685.5968	863120.1405	662498.9418	369939.1986
47	3251422.471	3320330.13	2984459.189	4863016.069	3349483.823	3139275.407	3097614.661	3310827.228	5300436.377	3201464.284	3282490.318	3255052.083	3039532.587	3101025.38	3247276.824	3233185.623
48	143620.7038	108667.0876	767428.8615	1048205.928	1654972.304	1232771.33	801176.7753	1328625.403	1779138.732	1074485.62	996888.0418	835956.5154	167799.7653	2791457.668	135173.2669	87770.63683
49	9465090.088	16100000	2293550.949	2529710.65	26300000	2325512.365	817784.8289	3738539.581	4285013.127	21600000	1314659.815	13400000	7806601.583	1.8e+07	9684056.344	3128473.252
50	3331295.249	4838406.733	452327.9292	800495.4698	6182104.144	1464153.669	990782.9398	2058225.561	1029812.396	1282190.161	1555815.39	1420373.114	1105493.15	3826481.957	726302.0121	2002452.725
51	8016.36597	0	58268.4536	1066095.19	1299361.194	316685.1272	414824.1361	1220624.309	1184136.748	491036.2028	150759.9183	75506.12989	1203.992373	557347.5441	0	2293.434768
52	0	20815.75669	113616.3135	1421928.904	3449445.795	806218.5386	898963.7039	1235181.296	1623744.578	1462535.931	775637.588	780997.6949	4397.604571	2828018.092	2161.974233	5547.85932
53	4995243.338	8083037.445	2431515.375	2367585.019	11400000	2181622.126	656312.281	3171130.26	3485037.446	1e+07	1236882.456	8938482.467	5234350.861	8583495.403	5228608.129	2079712.074
54	0	11029.17567	14319.1806	1945900.789	1884285.727	1026350.194	832285.7724	1132241.327	1592193.859	650517.097	579053.4013	293477.534	799.8206927	1234696.046	610.4237927	2232.676181
55	43876.4343	43345.2286	19146.98256	3209327.925	8795833.068	1663701.855	1017777.506	1936284.829	2738896.91	1370694.113	643403.1246	507402.6171	24026.28157	3536149.111	14177.49391	15684.97904
56	1116900.048	1167526.613	1310766.263	1298862.317	1374656.742	1287676.851	1012497.658	941678.5285	1321621.249	943720.4977	961705.9624	1237218.397	1030670.906	1010051.624	976493.0405	1191931.027
57	2556294.861	1979769.382	126815.901	208198.4952	4837392.243	1046626.979	541395.6145	1755205.306	1319426.705	2191445.791	512842.1274	1257602.372	1197627.206	6293635.459	786221.2077	675580.7383
58	1942210.765	1681664.011	1705929.55	1576976.862	1871094.914	1530095.182	1815981.412	2119832.818	1794889.692	1279561.325	1564607.703	3600420.917	3351490.252	1984725.825	2396129.507	2408724.196
59	1677773.069	1600615.875	1483674.49	1689069.432	1853414.529	1863129.519	2300492.093	4368277.015	1313293.514	1425196.303	1420229.477	779881.7079	254981.1878	799729.9295	741685.152	739072.2363
