row ID	1.mzML Peak area	100.mzML Peak area	101.mzML Peak area	102.mzML Peak area	103.mzML Peak area	104.mzML Peak area	105.mzML Peak area	106.mzML Peak area	15.mzML Peak area	16.mzML Peak area	17.mzML Peak area	18.mzML Peak area	19.mzML Peak area	2.mzML Peak area	20.mzML Peak area	21.mzML Peak area	22.mzML Peak area	3.mzML Peak area	4.mzML Peak area	5.mzML Peak area	6.mzML Peak area	7.mzML Peak area	8.mzML Peak area	80.mzML Peak area	81.mzML Peak area	82.mzML Peak area	83.mzML Peak area	84.mzML Peak area	85.mzML Peak area	86.mzML Peak area	87.mzML Peak area	88.mzML Peak area	89.mzML Peak area	96.mzML Peak area	97.mzML Peak area	98.mzML Peak area	99.mzML Peak area
1	37955.70279	10400000	5777560.814	2145700.285	1609588.086	3470551.709	655130.9554	2697329.109	7144.053627	4199.905364	7974.649916	3211.194644	2395.917707	1958007.135	7498.704539	2982.251549	7754.334655	165026.5861	14400000	7524712.475	47515.00028	51060.10604	6008.963094	609254.8089	304255.5318	1222689.686	2530175.49	95510.00694	5235727.779	2020443.277	15909.15817	2379840.965	1311237.852	5789503.581	806652.5243	3830569.901	8070613.544
2	397889.5083	490379.9074	380930.4511	497060.3575	326501.3503	305932.9411	409015.2183	321062.0582	647642.348	350576.1478	534207.4823	529557.3897	424742.9394	278434.1614	587341.882	645346.953	520864.439	408141.966	326400.2409	377400.3033	529023.0602	616913.1173	1045541.813	253838.3596	252885.7568	112080.584	228746.6846	203863.8027	96494.10673	410353.6771	444326.0198	377957.739	432298.652	319630.6918	591390.6867	643641.9749	417637.1154
3	702622.7835	756373.946	358223.858	362321.3728	277196.3392	310545.2382	566888.7356	258895.608	1785442.484	750146.9223	4423050.59	2573353.17	1185473.733	759044.704	3002185.521	1282803.198	1921990.636	1816664.753	1130230.574	628941.608	868940.5194	2459936.469	1548840.581	863836.1318	1088111.746	759683.4424	674365.0267	1560341.776	943737.3959	769277.4159	1525973.008	502477.1059	1158072.148	455402.1618	1187465.791	490444.0556	399520.3558
4	533917.6272	708578.708	478886.9113	478985.1181	371035.9647	409691.0301	772958.7472	319276.1669	1656659.152	1092549.631	7116742.103	3615807.59	985226.3642	902752.0235	4019426.668	1780594.546	4044039.181	2927319.062	1130230.574	744400.2005	1008559.159	3946311.338	2985968.028	1448380.459	2285217.083	1179915.192	954673.4854	1472882.871	592070.6724	1113568.353	3871454	724847.6773	1837011.399	470744.0239	1775022.049	645282.5666	408327.6186
5	9663091.185	17500000	11800000	7137421.983	12400000	10300000	10200000	5989142.885	1.6e+07	5987487.797	37300000	27500000	8903202.018	45900000	2547333.765	4072485.324	7319951.491	13900000	66700000	45700000	8928002.403	3067262.977	9477678.979	40300000	22700000	35200000	41400000	57800000	13100000	20800000	24600000	19300000	38700000	2.6e+07	15200000	23400000	10200000
6	4304625.176	4909324.268	3445837.2	3574002.563	3716460.866	2702409.593	3717066.12	3022007.972	3167892.589	2386568.602	3333327.261	4640300.489	3437283.212	4547902.815	5433232.487	4440462.647	2418232.836	5852688.209	3114989.68	4313370.437	4422276.498	4946755.295	2837935.687	2446886.286	3726930.527	3134444.024	4158785.221	3866756.837	2452066.181	3332451.258	4812811.429	3841956.288	5351324.533	3030698.907	3286929.568	4613507.66	4311714.918
7	6681.904574	28100000	15800000	1477314.22	1520533.07	2628288.677	341130.3776	1668763.063	8207.774463	4226.255028	3820.158337	6299.288178	4145.14924	1381031.701	4230.898623	5341.69551	4320.612233	3287.874891	5851721.822	2822980.691	8431.067979	34337.79286	3990.065324	454573.9488	48689.31628	1619165.914	3153435.116	517738.4946	4186592.093	1588772.196	2494.876379	1087156.487	604844.4035	11100000	1431233.026	8052262.33	1.3e+07
8	8218.127664	36700000	31400000	4124486.595	4221560.668	9892330.99	870544.0934	4716903.707	16518.92072	9243.901896	11486.93778	4322.106177	11322.18516	2992350.493	10578.34807	5472.413006	9785.579515	14139.96589	13500000	6829156.059	40098.02514	112779.0663	2688.666248	933753.9426	156155.044	3046643.327	7008019.937	904361.2079	9326008.646	4730512.22	18074.29228	4412139.568	1565012.014	2e+07	4330760.304	12300000	31100000
9	30497.51869	2376072.782	2855798.049	534456.3737	929203.8598	2259719.118	1195987.881	1148379.452	38790.63039	6781.643011	29273.63973	70755.31144	31241.51309	1151292.874	51690.02219	98595.02154	29887.91223	48044.83914	3200340.057	1334538.005	13859.46475	63772.5662	23568.30661	320024.5654	240679.7925	127428.8072	487138.8737	211340.5636	333847.7947	535610.0624	21079.80433	703397.1186	480814.7351	1386364.639	257997.6038	566430.1527	2444872.149
10	3404.105657	4267463.466	2362444.327	780483.8863	958326.2419	1536086.939	828653.3171	1743949.055	5484.366178	4251.792006	1955.402901	1660.101542	3563.068865	1209145.475	10587.96986	3550.794933	4464.745615	4659.083177	5029468.574	5144093.002	8287.898575	27162.27138	2827.498332	296021.5719	71445.03634	803961.3602	832107.6244	106742.3806	3240691.348	730933.8861	4963.114523	1854329.524	2449137.407	2574621.268	424566.9034	1106463.961	2475944.547
11	163457.3184	894649.7377	601280.4886	843423.0446	403380.3891	380933.356	626979.5035	444877.385	240780.9273	207483.3614	657223.0635	277266.918	93380.24425	602054.9079	563568.5822	111052.145	197269.8087	318983.0078	1638794.992	791622.3421	115943.9309	205998.3919	124554.6815	69212.33778	251231.9641	98167.94082	490291.4546	654212.0428	354511.2723	1315791.351	561767.6837	599409.9393	868044.2274	487969.475	587138.0053	146076.6687	343208.5162
12	994764.4339	2323462.512	1783258.903	969136.8875	792694.4258	611177.7572	1473631.689	391431.8365	4830218.215	1703615.379	3493640.113	1259758.979	2795788.291	971995.0667	6713356.498	992445.1731	2570267.6	1247516.066	652444.3071	596471.7947	301101.4463	973117.7451	2697931.098	1429802.024	1736958.576	2685837.876	1268714.135	2961502	1567314.599	1515754.598	3198497.758	863071.2044	1659355.968	1051172.286	3592111.908	3378237.702	1222208.078
13	3014.936995	6810771.122	3319505.393	974022.3524	990603.9431	1483450.548	920610.7966	2033660.156	1017.61333	2278.293492	1117.328611	602.987418	429.169842	2497886.012	562.2575638	969.015229	1083.852543	2046.031907	15400000	8056261.02	15879.21766	43625.023	1019.130393	119508.7072	37829.17239	943447.7359	1526188.322	647983.5585	4294903.908	907892.9837	2136.043777	1744236.762	1667635.26	3832435.028	459501.6645	1629245.317	2805618.53
14	8165.364531	5894590.298	3995480.725	734253.0272	617906.9088	1266399.042	168523.7874	583493.5181	9553.986682	6029.481875	5792.152536	8204.970716	8501.632237	449904.4112	2873.315652	8740.430819	7659.41034	20595.25416	2174881.086	991643.0965	9277.179135	31574.31862	3886.365277	118091.9166	19694.3216	752285.3413	1187406.214	67490.93607	1219920.32	1049172.819	4200.061315	681361.2394	255022.0081	3121940.548	655307.6237	3554595.254	4660775.999
15	2876628.696	4626247.403	6643460.418	2080898.137	8527797.774	5739928.517	3414534.683	2652954.648	5307931.875	2073432.557	7797388.829	11500000	5721867.846	9960954.37	1146659.371	946946.6353	2074017.534	6431802.352	2.8e+07	14400000	3366962.798	1369924.198	5073408.666	11300000	7808944.011	9932758.262	10400000	10500000	3835042.887	7671551.333	5623890.487	5174827.894	7981288.608	8290366.913	4150568.225	10500000	4192417.79
