row ID	100.mzML Peak area	101.mzML Peak area	102.mzML Peak area	103.mzML Peak area	104.mzML Peak area	105.mzML Peak area	106.mzML Peak area	15.mzML Peak area	16.mzML Peak area	17.mzML Peak area	18.mzML Peak area	19.mzML Peak area	20.mzML Peak area	21.mzML Peak area	22.mzML Peak area	96.mzML Peak area	97.mzML Peak area	98.mzML Peak area	99.mzML Peak area
1	10400000	5777560.814	2145700.285	1609588.086	3470551.709	655130.9554	2697329.109	7144.053627	4199.905364	7974.649916	3211.194644	2395.917707	7498.704539	2982.251549	7754.334655	5789503.581	806652.5243	3830569.901	8070613.544
2	490379.9074	380930.4511	497060.3575	326501.3503	305932.9411	409015.2183	321062.0582	647642.348	350576.1478	534207.4823	529557.3897	424742.9394	587341.882	645346.953	520864.439	319630.6918	591390.6867	643641.9749	417637.1154
3	756373.946	358223.858	362321.3728	277196.3392	310545.2382	566888.7356	258895.608	1785442.484	750146.9223	4423050.59	2573353.17	1185473.733	3002185.521	1282803.198	1921990.636	455402.1618	1187465.791	490444.0556	399520.3558
4	708578.708	478886.9113	478985.1181	371035.9647	409691.0301	772958.7472	319276.1669	1656659.152	1092549.631	7116742.103	3615807.59	985226.3642	4019426.668	1780594.546	4044039.181	470744.0239	1775022.049	645282.5666	408327.6186
5	17500000	11800000	7137421.983	12400000	10300000	10200000	5989142.885	1.6e+07	5987487.797	37300000	27500000	8903202.018	2547333.765	4072485.324	7319951.491	2.6e+07	15200000	23400000	10200000
6	4909324.268	3445837.2	3574002.563	3716460.866	2702409.593	3717066.12	3022007.972	3167892.589	2386568.602	3333327.261	4640300.489	3437283.212	5433232.487	4440462.647	2418232.836	3030698.907	3286929.568	4613507.66	4311714.918
7	28100000	15800000	1477314.22	1520533.07	2628288.677	341130.3776	1668763.063	8207.774463	4226.255028	3820.158337	6299.288178	4145.14924	4230.898623	5341.69551	4320.612233	11100000	1431233.026	8052262.33	1.3e+07
8	36700000	31400000	4124486.595	4221560.668	9892330.99	870544.0934	4716903.707	16518.92072	9243.901896	11486.93778	4322.106177	11322.18516	10578.34807	5472.413006	9785.579515	2e+07	4330760.304	12300000	31100000
9	2376072.782	2855798.049	534456.3737	929203.8598	2259719.118	1195987.881	1148379.452	38790.63039	6781.643011	29273.63973	70755.31144	31241.51309	51690.02219	98595.02154	29887.91223	1386364.639	257997.6038	566430.1527	2444872.149
10	4267463.466	2362444.327	780483.8863	958326.2419	1536086.939	828653.3171	1743949.055	5484.366178	4251.792006	1955.402901	1660.101542	3563.068865	10587.96986	3550.794933	4464.745615	2574621.268	424566.9034	1106463.961	2475944.547
11	894649.7377	601280.4886	843423.0446	403380.3891	380933.356	626979.5035	444877.385	240780.9273	207483.3614	657223.0635	277266.918	93380.24425	563568.5822	111052.145	197269.8087	487969.475	587138.0053	146076.6687	343208.5162
12	2323462.512	1783258.903	969136.8875	792694.4258	611177.7572	1473631.689	391431.8365	4830218.215	1703615.379	3493640.113	1259758.979	2795788.291	6713356.498	992445.1731	2570267.6	1051172.286	3592111.908	3378237.702	1222208.078
13	6810771.122	3319505.393	974022.3524	990603.9431	1483450.548	920610.7966	2033660.156	1017.61333	2278.293492	1117.328611	602.987418	429.169842	562.2575638	969.015229	1083.852543	3832435.028	459501.6645	1629245.317	2805618.53
14	5894590.298	3995480.725	734253.0272	617906.9088	1266399.042	168523.7874	583493.5181	9553.986682	6029.481875	5792.152536	8204.970716	8501.632237	2873.315652	8740.430819	7659.41034	3121940.548	655307.6237	3554595.254	4660775.999
15	4626247.403	6643460.418	2080898.137	8527797.774	5739928.517	3414534.683	2652954.648	5307931.875	2073432.557	7797388.829	11500000	5721867.846	1146659.371	946946.6353	2074017.534	8290366.913	4150568.225	10500000	4192417.79
16	10500000	9710225.328	2259624.892	2385499.141	4264106.088	796858.028	2822206.111	37836.13362	28319.18344	13485.34824	11764.46682	43535.93968	6871.469974	46405.98341	8667.129142	6197821.321	845523.4757	3479399.091	6233371.098
17	14400000	8939612.227	1542092.411	898906.4999	2773994.591	531629.2083	1199148.951	352916.9397	93937.35214	829117.8723	230804.0974	98163.49267	264798.5698	145767.1553	122201.09	6560997.401	1815002.229	8430796.117	1e+07
18	4178281.171	1266475.578	483086.2413	729879.7717	1260549.204	888655.7787	1831556.895	489952.9902	641427.2433	2983972.028	1889535.457	614427.9984	245540.7175	148046.6003	202823.3805	2383509.278	641867.5911	1813401.62	1017113.41
