row ID	1.mzML Peak area	2.mzML Peak area	3.mzML Peak area	4.mzML Peak area	5.mzML Peak area	6.mzML Peak area	7.mzML Peak area	8.mzML Peak area	80.mzML Peak area	81.mzML Peak area	82.mzML Peak area	83.mzML Peak area	84.mzML Peak area	85.mzML Peak area	86.mzML Peak area	87.mzML Peak area	88.mzML Peak area	89.mzML Peak area
1	37955.70279	1958007.135	165026.5861	14400000	7524712.475	47515.00028	51060.10604	6008.963094	609254.8089	304255.5318	1222689.686	2530175.49	95510.00694	5235727.779	2020443.277	15909.15817	2379840.965	1311237.852
2	397889.5083	278434.1614	408141.966	326400.2409	377400.3033	529023.0602	616913.1173	1045541.813	253838.3596	252885.7568	112080.584	228746.6846	203863.8027	96494.10673	410353.6771	444326.0198	377957.739	432298.652
3	702622.7835	759044.704	1816664.753	1130230.574	628941.608	868940.5194	2459936.469	1548840.581	863836.1318	1088111.746	759683.4424	674365.0267	1560341.776	943737.3959	769277.4159	1525973.008	502477.1059	1158072.148
4	533917.6272	902752.0235	2927319.062	1130230.574	744400.2005	1008559.159	3946311.338	2985968.028	1448380.459	2285217.083	1179915.192	954673.4854	1472882.871	592070.6724	1113568.353	3871454	724847.6773	1837011.399
5	9663091.185	45900000	13900000	66700000	45700000	8928002.403	3067262.977	9477678.979	40300000	22700000	35200000	41400000	57800000	13100000	20800000	24600000	19300000	38700000
6	4304625.176	4547902.815	5852688.209	3114989.68	4313370.437	4422276.498	4946755.295	2837935.687	2446886.286	3726930.527	3134444.024	4158785.221	3866756.837	2452066.181	3332451.258	4812811.429	3841956.288	5351324.533
7	6681.904574	1381031.701	3287.874891	5851721.822	2822980.691	8431.067979	34337.79286	3990.065324	454573.9488	48689.31628	1619165.914	3153435.116	517738.4946	4186592.093	1588772.196	2494.876379	1087156.487	604844.4035
8	8218.127664	2992350.493	14139.96589	13500000	6829156.059	40098.02514	112779.0663	2688.666248	933753.9426	156155.044	3046643.327	7008019.937	904361.2079	9326008.646	4730512.22	18074.29228	4412139.568	1565012.014
9	30497.51869	1151292.874	48044.83914	3200340.057	1334538.005	13859.46475	63772.5662	23568.30661	320024.5654	240679.7925	127428.8072	487138.8737	211340.5636	333847.7947	535610.0624	21079.80433	703397.1186	480814.7351
10	3404.105657	1209145.475	4659.083177	5029468.574	5144093.002	8287.898575	27162.27138	2827.498332	296021.5719	71445.03634	803961.3602	832107.6244	106742.3806	3240691.348	730933.8861	4963.114523	1854329.524	2449137.407
11	163457.3184	602054.9079	318983.0078	1638794.992	791622.3421	115943.9309	205998.3919	124554.6815	69212.33778	251231.9641	98167.94082	490291.4546	654212.0428	354511.2723	1315791.351	561767.6837	599409.9393	868044.2274
12	994764.4339	971995.0667	1247516.066	652444.3071	596471.7947	301101.4463	973117.7451	2697931.098	1429802.024	1736958.576	2685837.876	1268714.135	2961502	1567314.599	1515754.598	3198497.758	863071.2044	1659355.968
13	3014.936995	2497886.012	2046.031907	15400000	8056261.02	15879.21766	43625.023	1019.130393	119508.7072	37829.17239	943447.7359	1526188.322	647983.5585	4294903.908	907892.9837	2136.043777	1744236.762	1667635.26
14	8165.364531	449904.4112	20595.25416	2174881.086	991643.0965	9277.179135	31574.31862	3886.365277	118091.9166	19694.3216	752285.3413	1187406.214	67490.93607	1219920.32	1049172.819	4200.061315	681361.2394	255022.0081
15	2876628.696	9960954.37	6431802.352	2.8e+07	14400000	3366962.798	1369924.198	5073408.666	11300000	7808944.011	9932758.262	10400000	10500000	3835042.887	7671551.333	5623890.487	5174827.894	7981288.608
16	21936.69325	2615093.442	26291.6823	17800000	4415782.324	26774.53468	44095.30327	41537.37125	589353.3305	58619.72946	1685747.401	3677438.38	1436886.108	9671537.336	1694326.26	25505.85983	3278236.444	1623065.939
17	656499.4474	2134024.599	1266610.276	7389299.353	4323246.16	413778.5118	205128.7772	141326.2063	439483.5386	798688.0421	2597848.654	3342457.363	760675.3396	3186072.318	2780822.308	484978.2642	1876699.347	885995.4338
18	344978.0423	5668373.005	1100501.704	5817438.97	7633906.953	2231488.272	370877.2968	629923.7645	1425763.212	1725780.711	2996004.61	7216606.345	10600000	1876110.446	3896310.464	4186889.998	3976977.739	11800000
19	2710465.59	3780584.929	4595886.688	4745379.597	5100239.614	2753711.76	3482856.816	4375192.324	3212622.573	2985759.217	3767953.827	4483892.418	4458546.692	3827261.86	4380388.795	4123213.679	3968554.401	4432118.636
20	33718.4205	1.8e+07	10070.38107	65200000	40800000	162911.7928	408296.3189	13344.89825	3631358.552	812359.3173	13900000	27900000	7444227.118	62300000	11200000	52520.43396	16900000	10900000
21	1314994.356	1374788.993	450689.995	3960498.668	1769999.234	2384458.82	281802.5623	593075.8006	2586940.118	3425729.286	1181133.305	1234099.935	2824249.769	1331174.758	836485.5377	737354.6869	814645.8483	2970529.251
22	1721247.608	2073749.804	718843.7045	5027316.572	2524973.587	3349155.739	574989.2035	1025542.534	3280492.148	3920664.304	2246080.806	3678987.333	6167846.327	2898560.4	1384180.521	1539636.573	1576023.69	4613708.043
23	8545.643509	1492808.152	5168.610639	6996448.723	5527571.716	7093.482233	56420.19603	6484.669738	310946.4655	66300.1194	558855.7612	1175971.081	228507.7443	4987377.979	821056.3932	2916.149424	1382074.552	742238.3803
24	362611.9927	369201.2105	321689.0047	359983.696	375592.8213	393863.9295	429263.9206	398805.8807	450294.7799	373862.5634	457211.2841	543808.4301	412426.9463	405106.7505	241310.897	373860.7442	408038.1747	448456.8062
25	1166023.302	10300000	6667949.779	6728581.106	8845686.94	6468356.327	1582900.994	2584062.003	7214121.931	8283517.19	9170908.703	14900000	27700000	4115858.039	6796084.846	19300000	5684562.218	25100000
26	1852596.279	6586422.669	4246150.38	18300000	9512457.271	2173057.283	881000.7456	3291083.08	7375576.843	5138438.062	6541565.843	6849252.342	6896105.11	2503685.669	4969256.541	3684703.389	3324425.582	5309473.965
27	459700.9547	4075078.27	343942.057	19900000	10100000	122750.0571	72856.23886	67677.8771	6507513.107	2645567.546	1417776.231	2067684.204	1482510.421	8443417.367	1406237.003	182756.2663	2539109.667	2798834.046
28	73987.69768	558902.071	418714.7457	61942.53913	247975.3859	244136.5354	297166.6172	464394.2584	691057.3975	529129.8018	90073.1199	96963.89122	1210995.299	2840.111278	747977.8589	755409.1162	16644.90112	840039.9408
29	506.5587145	3233576.823	0	12700000	7588873.73	3952.947479	31308.45455	0	441954.4908	126928.2027	2209948.479	4687735.825	1367789.171	7503518.307	1525128.015	733.9578005	2366696.011	1930104.556
30	684440.1688	940409.2074	1025044.769	1175281.984	1100381.163	850755.1637	888630.9347	1037032.047	1058746.217	975079.5234	906589.9559	1056909.409	1199151.862	494013.0138	1077659.235	1023966.903	896537.2045	1117586.456
31	1074043.58	4918811.78	5611158.09	10600000	5419844.285	2225014.31	2557977.092	2695564.591	2613298.447	7737809.181	6423900.61	8421845.024	14700000	2905427.913	3516115.254	10300000	1135016.128	10700000
32	1340.920444	436041.7839	0	1384568.466	1070467.798	5602.104356	22013.59185	0	211355.3698	25398.13382	568112.5431	1103461.352	132503.1876	644851.2804	1026143.289	0	974969.5654	292775.7923
33	5574.916096	451664.8266	9367.298629	2147256.454	1302721.776	4595.5314	19687.55165	1735.344208	193456.0471	14713.73542	355514.9698	895309.8775	143736.7368	1070791.487	1196004.163	3780.184361	842369.612	313642.3207
34	7458856.743	7043117.156	7050981.682	6924130.579	6746846.785	7039241.552	7337267.492	7078991.872	7615829.304	7281442.968	7169170.127	7328998.473	7210172.486	7287351.456	7288301.91	7627672.661	7208038.333	7897843.9
35	921546.6818	8086028.878	4147602.577	8072983.978	8763425.756	4229443.974	1165595.413	2201358.055	3751610.596	3842430.554	5171394.117	13300000	17600000	2993113.975	4460846.251	8889948.685	7285285.164	14500000
36	3451718.419	2943552.443	6534450.433	3076068.33	2867381.512	2535931.579	3054420.526	6315996.859	4580388.427	5835955.895	3469099.638	2458817.905	5284280.985	1832872.111	1914445.04	5709570.9	1446993.211	4266964.519
37	2576.828471	3033440.226	9867.518266	1.1e+07	4015680.033	13258.80909	30217.56874	5649.950624	402347.9346	127685.0818	568926.827	1719098.189	691881.1824	5557756.384	1244930.544	17498.97522	2170368.847	1686796.338
38	1960780.557	15500000	4404167.394	49400000	28500000	2439647.922	5360965.414	3805326.149	5226872.944	4791150.186	3648955.829	5858256.498	8953571.555	17300000	4581222.469	10500000	7088355.537	13300000
39	37443.28671	665463.9856	64786.16605	3192102.556	1547027.704	78042.82854	37300.73281	57120.78739	334875.9655	352488.1324	1228479.262	1871243.396	834372.522	1342105.935	777594.6099	75808.52684	925006.5652	761353.4856
40	7535.7293	921880.9082	3922.798739	4696882.298	3006638.845	19116.12977	14209.68844	4290.513344	191590.842	52310.99826	413888.9758	936439.4322	244614.3387	3031622.377	851410.5203	29250.49962	1071698.249	491268.0195
41	5909.118523	2695003.123	40428.07337	12100000	6661756.788	48591.21993	148018.1852	31420.20936	669203.284	63885.69081	1304096.791	4953883.864	1150680.707	7344024.399	1525287.47	39721.15174	1911541.628	1366970.27
42	76170.13377	2356855.056	97607.96574	3.5e+07	9788762.196	48591.21993	148018.1852	69961.48899	507811.5017	63885.69081	1490460.392	4206998.665	1759554.648	7746351.865	1597847.262	77818.6211	1734333.283	1201109.319
