sample_name	filename	sample_weight_MS (g)	recostitution volume (mL)	sample_id	tube_id	ATTRIBUTE_host_subject_id	sample_type	dob	dod	sex	cage_id	host_age_at_sac	ATTRIBUTE_host_age_at_sample_collection	host_age_units	collection_timestamp	ATTRIBUTE_disease_stage	ATTRIBUTE_condition	ATTRIBUTE_timepoint	mouse_strain	dam	sire	NASH_category	fibrosis_stage	steatosis_grade	fibrosis_stage_new	steatosis_grade_new
1.mzML Peak area	1.mzML	0.0077	0.154	3L.T1	3L_T1	3L	stool	18/11/2020	27/4/2021	M	STZ_3	22	7	weeks	13/1/2021	TRF	FT	ZT1	C57BL/6	C57_11N	C57_11M	NA	NA	NA	NA	NA
10.mzML Peak area	10.mzML	0.0224	0.448	9bR.T1	9bR_T1	9bR	stool	22/11/2020	12/3/2021	M	STZ_9b	not_applicable	7	weeks	13/1/2021	TRF	NA	ZT1	C57BL/6	C57_9N	C57_9M	NA	NA	NA	NA	NA
100.mzML Peak area	100.mzML	0.0634	1.268	15L.T13	15L_T13	15L	stool	20/1/2021	16/4/2021	M	STZ_15	12	7	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_4N	C57_4M	NASH	1	1	1+	1+
101.mzML Peak area	101.mzML	0.055	1.1	16R.T13	16R_T13	16R	stool	22/1/2021	16/4/2021	M	STZ_16	12	7	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_8N	C57_8M	Non_NASH	1	0	1+	0
102.mzML Peak area	102.mzML	0.0572	1.144	17N.T13	17N_T13	17N	stool	19/1/2021	16/4/2021	M	STZ_17	12	7	weeks	19/3/2021	TRF	FA	ZT13	C57BL/6	C57_15N	C57_15M	Non_NASH	0	1	0	1+
103.mzML Peak area	103.mzML	0.0527	1.054	17R.T13	17R_T13	17R	stool	22/1/2021	15/4/2021	M	STZ_17	12	7	weeks	19/3/2021	TRF	FA	ZT13	C57BL/6	C57_8N	C57_8M	NASH	2	1	1+	1+
104.mzML Peak area	104.mzML	0.0526	1.052	18L.T13	18L_T13	18L	stool	20/1/2021	16/4/2021	M	STZ_18	12	7	weeks	19/3/2021	TRF	FA	ZT13	C57BL/6	C57_7L	C57_7M	NASH	0	2	0	1+
105.mzML Peak area	105.mzML	0.0287	0.574	18R.T13	18R_T13	18R	stool	22/1/2021	15/4/2021	M	STZ_18	12	7	weeks	19/3/2021	TRF	FA	ZT13	C57BL/6	C57_12L	C57_12M	NASH	1	1	1+	1+
106.mzML Peak area	106.mzML	0.0606	1.212	20N.T13	20N_T13	20N	stool	20/1/2021	16/4/2021	M	STZ_20	12	7	weeks	19/3/2021	TRF	FA	ZT13	C57BL/6	C57_1N	C57_1M	Non_NASH	1	0	1+	0
107.mzML Peak area	107.mzML	0.0607	1.214	21L.T13	21L_T13	21L	stool	20/1/2021	16/4/2021	M	STZ_21	12	7	weeks	19/3/2021	TRF	NA	ZT13	C57BL/6	C57_9N	C57_9M	not_applicable	0	0	none	none
108.mzML Peak area	108.mzML	0.031	0.62	21R.T13	21R_T13	21R	stool	22/1/2021	16/4/2021	M	STZ_21	12	7	weeks	19/3/2021	TRF	NA	ZT13	C57BL/6	C57_13N	C57_13M	not_applicable	0	0	none	none
109.mzML Peak area	109.mzML	0.0306	0.612	22L.T13	22L_T13	22L	stool	21/1/2021	16/4/2021	M	STZ_22	12	7	weeks	19/3/2021	TRF	NA	ZT13	C57BL/6	C57_11L	C57_11M	not_applicable	0	0	none	none
11.mzML Peak area	11.mzML	0.0156	0.312	11L.T1	11L_T1	11L	stool	19/11/2020	26/4/2021	M	STZ_11	22	7	weeks	13/1/2021	TRF	NA	ZT1	C57BL/6	C57_12L	C57_12M	NA	NA	NA	NA	NA
110_hzy.mzML Peak area	110_hzy.mzML	0.0285	0.57	22N.T13	22N_T13	22N	stool	20/1/2021	15/4/2021	M	STZ_22	12	7	weeks	19/3/2021	TRF	NA	ZT13	C57BL/6	C57_3L	C57_3M	not_applicable	0	0	none	none
111.mzML Peak area	111.mzML	0.0555	1.11	23N.T13	23N_T13	23N	stool	20/1/2021	16/4/2021	M	STZ_23	12	7	weeks	19/3/2021	TRF	NA	ZT13	C57BL/6	C57_3L	C57_3M	not_applicable	0	0	none	none
112.mzML Peak area	112.mzML	0.048	0.96	24L.T13	24L_T13	24L	stool	21/1/2021	16/4/2021	M	STZ_24	12	7	weeks	19/3/2021	TRF	NA	ZT13	C57BL/6	C57_11L	C57_11M	not_applicable	0	0	none	none
113.mzML Peak area	113.mzML	0.0268	0.536	13N.N1	13N_N1	13N	stool	19/1/2021	15/4/2021	M	STZ_13	12	12	weeks	13/4/2021	NASH	FT	ZT1	C57BL/6	C57_12N	C57_12M	NASH	0	2	0	1+
114.mzML Peak area	114.mzML	0.0282	0.564	13L.N1	13L_N1	13L	stool	20/1/2021	15/4/2021	M	STZ_13	12	12	weeks	13/4/2021	NASH	FT	ZT1	C57BL/6	C57_4N	C57_4M	NASH	1	1	1+	1+
115.mzML Peak area	115.mzML	0.0327	0.654	14L.N1	14L_N1	14L	stool	20/1/2021	16/4/2021	M	STZ_14	12	12	weeks	13/4/2021	NASH	FT	ZT1	C57BL/6	C57_4N	C57_4M	Non_NASH	0	1	0	1+
116.mzML Peak area	116.mzML	0.062	1.24	14R.N1	14R_N1	14R	stool	21/1/2021	16/4/2021	M	STZ_14	12	12	weeks	13/4/2021	NASH	FT	ZT1	C57BL/6	C57_11L	C57_11M	NASH	1	1	1+	1+
117.mzML Peak area	117.mzML	0.0491	0.982	15L.N1	15L_N1	15L	stool	20/1/2021	16/4/2021	M	STZ_15	12	12	weeks	13/4/2021	NASH	FT	ZT1	C57BL/6	C57_4N	C57_4M	NASH	1	1	1+	1+
118.mzML Peak area	118.mzML	0.0428	0.856	16R.N1	16R_N1	16R	stool	22/1/2021	16/4/2021	M	STZ_16	12	12	weeks	13/4/2021	NASH	FT	ZT1	C57BL/6	C57_8N	C57_8M	Non_NASH	1	0	1+	0
119.mzML Peak area	119.mzML	0.082	1.64	17N.N1	17N_N1	17N	stool	19/1/2021	16/4/2021	M	STZ_17	12	12	weeks	13/4/2021	NASH	FA	ZT1	C57BL/6	C57_15N	C57_15M	Non_NASH	0	1	0	1+
12.mzML Peak area	12.mzML	0.015	0.3	11B.T1	11B_T1	11B	stool	19/11/2020	27/4/2021	M	STZ_11	22	7	weeks	13/1/2021	TRF	NA	ZT1	C57BL/6	C57_14L	C57_14M	NA	NA	NA	NA	NA
