condition	zt_hour	MotorActivity	groups
FA	20	1.61370833333333	a
NA	15	1.5185825	ab
FA	12	1.424215	ab
NA	14	1.38101833333333	abc
FA	14	1.346295	abcd
FT	20	1.318776125	abcd
NA	22	1.24411783333333	abcde
FT	19	1.2324229375	abcde
FA	13	1.210945	abcdef
FT	14	1.201943125	abcdef
FT	13	1.1850375	abcdef
FA	19	1.17865333333333	abcdef
FT	21	1.1752640625	abcdef
FT	15	1.1403565	abcdef
FT	12	1.12003625	bcdef
NA	20	1.11397166666667	bcdefg
NA	13	1.099344	bcdefgh
FT	18	1.0374971875	bcdefgh
FA	2	1.01873371666667	bcdefghi
FT	16	1.01872425	bcdefghi
FA	1	0.997863433333334	bcdefghij
FA	16	0.9915985	bcdefghij
NA	19	0.970143666666667	bcdefghij
NA	16	0.96405225	bcdefghijk
NA	23	0.963207583333333	bcdefghijk
FA	21	0.958297516666667	bcdefghijk
FA	18	0.927395333333333	bcdefghijk
FT	1	0.900511216875	cdefghijk
NA	1	0.872308233333334	cdefghijk
FT	22	0.8721988625	defghijk
FA	17	0.862463833333333	defghijk
FA	23	0.862377833333334	defghijk
FA	4	0.808107166666667	defghijkl
FA	11	0.797245166666667	defghijklm
FT	23	0.793206925	efghijklm
FT	17	0.7875341875	efghijklm
FA	6	0.7498635	efghijklm
FA	15	0.740145000000001	efghijklm
FT	4	0.737831125	fghijklm
NA	21	0.733993666666667	fghijklm
FA	10	0.729955683333333	fghijklm
FA	22	0.714842533333333	fghijklm
NA	12	0.689036166666667	fghijklm
FA	9	0.682689583333333	fghijklmn
FT	2	0.64793603125	ghijklmn
NA	18	0.642368166666667	ghijklmn
FA	0	0.62985515	ghijklmn
FT	3	0.61813113125	hijklmn
NA	8	0.590364166666667	hijklmn
FA	7	0.561819	hijklmn
FT	11	0.5570788175	ijklmn
FA	8	0.5472124	ijklmn
FA	3	0.53638575	ijklmn
FA	5	0.532598366666667	ijklmn
FT	0	0.5286333375	jklmn
NA	3	0.460342066666667	jklmn
NA	9	0.454016333333333	jklmn
NA	17	0.440849	jklmn
NA	5	0.434911	jklmn
FT	7	0.433412694375	klmn
NA	11	0.373724983333333	klmn
FT	10	0.36309425625	lmn
FT	5	0.351165985	lmn
NA	2	0.3507535	lmn
NA	4	0.350288783333333	lmn
FT	8	0.34015334375	lmn
FT	9	0.33248756925	lmn
FT	6	0.30949545	mn
NA	6	0.264081483333333	mn
NA	10	0.2551481	mn
NA	7	0.236218933333333	mn
NA	0	0.0962856000000001	n
