condition	zt_hour	Sleep_pct_M	groups
NA	0	92.25926	a
FT	6	90.46007	a
FT	5	89.649305625	a
FT	9	88.062500625	a
FT	7	87.428820625	a
FT	10	86.906250625	a
NA	7	86.8333333333333	ab
NA	10	86.5648166666667	ab
FT	8	86.26389	ab
NA	6	84.694445	abc
FT	0	81.857638125	abc
NA	4	78.9166683333333	abcd
NA	11	78.88889	abcd
NA	2	77.8009266666667	abcde
FT	11	77.21701375	abcde
FT	4	76.385415	abcde
FT	2	75.609375	abcde
NA	17	74.847225	abcdef
NA	5	74.2037033333333	abcdef
FA	3	73.2685183333333	abcdef
FT	3	73.10416625	abcdef
FA	5	72.0787033333333	abcdef
FA	0	71.5277783333333	abcdef
FA	7	71.449075	abcdef
NA	3	71.199075	abcdef
FA	8	70.99074	abcdef
NA	9	70.6851833333333	abcdef
FT	22	69.204860625	abcdef
FT	23	68.0954863125	abcdef
FA	6	66.8842583333333	abcdef
FT	17	66.484375625	bcdef
FA	9	64.6990733333333	bcdef
FA	10	63.52778	bcdefg
NA	8	63.49537	bcdefg
FA	22	63.055555	bcdefg
FT	1	62.1961810625	bcdefg
FA	11	61.421295	bcdefg
FA	15	60.685185	bcdefgh
NA	18	59.8935183333333	bcdefghi
NA	12	59.3888883333333	bcdefghi
FA	21	58.796295	bcdefghij
FA	23	57.3472216666667	bcdefghij
NA	21	57.319445	bcdefghij
FA	4	57.1851883333333	bcdefghij
FA	17	56.11111	cdefghijk
FA	2	54.435185	defghijkl
FA	18	53.694445	defghijklm
FT	21	53.347221375	efghijklm
FT	16	52.1597225	fghijklm
FA	1	51.379629	fghijklmn
FA	16	50.6574078333333	fghijklmno
FT	18	50.654513125	fghijklmno
NA	16	48.7430575	fghijklmnop
NA	1	48.0740751666667	fghijklmnop
NA	23	47.555555	fghijklmnop
NA	19	45.01389	fghijklmnop
FT	12	39.1666656875	ghijklmnop
FA	19	36.5925916666667	ghijklmnopq
FT	19	36.1197906875	hijklmnopq
FT	15	35.5868056875	ijklmnopq
FT	20	34.0607634375	jklmnopq
FT	13	31.1423601875	klmnopq
FT	14	31.01562525	lmnopq
NA	22	30.773147	lmnopq
NA	20	30.1990736666667	lmnopq
NA	13	26.074075	lmnopq
FA	12	23.8657433333333	mnopq
FA	14	22.314815	nopq
FA	20	20.7824066666667	opq
FA	13	19.574075	pq
NA	14	13.430555	q
NA	15	12.2291675	q
