Feature	Intercept_mean	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_mean	Intercept_std	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_std	Intercept_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_hdi
cab0cf41d9e2a3200266b0f8d27732f4	-9.081195479149994	-0.500367828019999	2.2544673406436697	2.437840011298335	(-12.7043, -4.43652)	(-5.65505, 3.97398)
d0b9517a6f26f847e3bf839cad5d1633	-6.65990228000001	-0.04047731961299992	0.9479990224512902	1.1653251722650122	(-8.24027, -4.89714)	(-2.08577, 2.33707)
4a87a908f766fffca0ec166d921728a7	-4.705534783300003	1.580322466158003	1.3820192528569932	1.6243704778556396	(-6.96264, -2.37944)	(-1.7247, 4.34875)
864fb808c26f29d79c123613d0d15fab	-5.9848264550000145	-0.4200359067164998	0.3607166464718301	0.43173236855798786	(-6.65873, -5.33034)	(-1.22517, 0.405016)
072979c34ca788c2a8f4b61f356c027f	-8.239783742050001	-0.208286909336	3.0769625422349143	2.9761514365697983	(-12.8595, -1.84137)	(-5.59989, 5.48465)
0846374b81d0d3b3e8a8864b903c65cd	-7.9938317144999855	0.6259614633750001	1.3997146664464721	1.6024188141444065	(-10.3774, -5.44811)	(-2.5754, 3.53682)
0ad66f80d24a4bed3f8bd4b1be1b3c6c	-8.73709530270001	-0.793427648105001	2.8214948083409785	2.887551220852912	(-13.2641, -3.62027)	(-6.7157, 4.69621)
5efb6d0e4d3426d36140f0295e85589e	-6.784368014099999	-0.03716865558650008	3.126108372117061	3.4592643786607797	(-11.8654, -1.01081)	(-6.60286, 6.63234)
f31f20496ed5d92e3175aeb3fe8968c7	-7.070090056520003	2.477800257125003	4.105983829544649	3.78575530292488	(-14.577, 0.520012)	(-4.47621, 9.58041)
15d1d95e2df505d77c80129986ef42ae	-7.928312446400017	-3.3715248196600056	3.2691815718510364	4.627996994686609	(-13.4017, -1.76619)	(-12.1067, 5.43973)
7da3df619234b604145d1885e0ca6876	-3.496547769999999	-0.9944048821400007	0.38088054947401434	0.4568661469259559	(-4.21136, -2.83506)	(-1.89096, -0.237218)
af59875f7699b66370290675c08385eb	-5.190061224339991	-1.382291232288501	2.263119180718894	2.8007078563906904	(-8.83696, -0.868931)	(-7.35348, 3.47018)
0bc4a7dd51dc09d0fad32ee694f3da67	-8.060540645199998	-0.7969321207400013	2.7876121569210546	3.148025437597498	(-12.7118, -3.05219)	(-7.00859, 5.39808)
42fed1ec74aafd590e2d3c0433498e60	-8.4293287338	2.3772870632049967	3.774605148017776	3.421648779199336	(-14.9551, -1.15123)	(-3.67665, 8.62547)
6e07535e173a4b33ffe43d2b5f5878f7	-8.776237750460009	0.5364868736700013	4.433558405694671	3.720382689506658	(-16.7778, -0.298892)	(-6.21805, 8.03721)
408c0a84e49504a68ac665f21a2c0149	-8.182331479999991	0.14236635734135	0.8159723530648019	0.9451397084250123	(-9.51896, -6.54016)	(-1.7657, 1.81531)
21b8486e169a9d5161d8ec072aeb59b9	-4.795966029999992	-1.330897115500003	0.5345312003213086	0.6379207999352624	(-5.74925, -3.71102)	(-2.56312, -0.132596)
4f05d43ba5590d37d0239713f9bc9475	-7.43853653500001	0.001999897090499974	1.1865308121702725	1.3593881914710604	(-9.42778, -5.35292)	(-2.55752, 2.58751)
48dfa84a440fd301d589cdffe60e057a	-7.467013717000004	0.7458501354599996	1.458110086432417	1.630409192327278	(-9.78527, -4.6791)	(-2.43902, 3.73948)
f4eefbd4edf2a372131825289fffcca6	-6.6094280099999905	0.45881675178000003	1.1332033602635059	1.3352471587054358	(-8.34206, -4.36691)	(-1.94784, 2.95537)
3db08ad717f20fde7085a3e346880d8e	-4.991539699500003	0.4749381117650001	1.1501171194790425	1.4005676959912927	(-7.05355, -2.96675)	(-2.1485, 2.98422)
0cee68a333626762a86725bec4c00817	-9.119615493500003	0.05884439688500004	1.8430972936116314	1.997658243309004	(-12.4419, -5.63519)	(-4.03527, 3.51672)
7cd21ff6ca065507b48a237f2ace2462	-8.01708534000001	-1.5855607664600013	0.7597983856589748	0.9556234851079826	(-9.30491, -6.65283)	(-3.10523, 0.465464)
e852306e2ae16e53274c18216827c27e	-6.170169733700001	-0.2670194438489998	2.1127367321273636	2.387176054149115	(-9.41888, -2.10078)	(-4.8716, 4.0811)
187f16f0537b9e9394d9627bd2c4122a	-7.343736525800018	-3.5376365926850024	3.0872965483076737	4.73164880500747	(-11.6917, -0.387949)	(-11.8981, 5.83375)
b3a8ad2d9a769dd1a7d6989aa62f3305	-8.650326721699988	-0.648258750175001	3.0693112409885623	3.0370902770808756	(-13.3691, -2.75052)	(-6.79621, 5.13451)
ec732ad6f4d2f80391c0652775c07ef0	-9.799611433449988	1.4779681786714975	2.4875321104705184	2.5401714139316143	(-13.9102, -4.97797)	(-3.56408, 6.07377)
879b108ee3daab7dbbb2914d50ed92f0	-8.789098609999986	-2.373010346100002	0.750244113936769	1.1943742578581604	(-10.1783, -7.48112)	(-5.03532, -0.565424)
03822cb1cb5fa953c2d32618113177bf	-7.344875328499988	-5.589738349711746	1.8164667081732748	3.688563206353084	(-10.3863, -3.96129)	(-12.008, 2.28127)
ea1712888965e4b09f9062b3a9e0b965	-7.456089885	-0.5724556861635005	0.6549242431020831	0.7711810465402602	(-8.55449, -6.25658)	(-1.96996, 0.890007)
ab4a8723e7360cd7210a03fa5a8746ab	-5.432790300000005	-0.9005396999079994	0.7217775825632229	0.8740117927591576	(-6.738, -4.14436)	(-2.61618, 0.596335)
7a20f7055ca2c7462cfa6a7aef16ec28	-8.994124077499995	-0.49142547637199974	2.217449180780022	2.3774948689630744	(-12.289, -4.23329)	(-5.12306, 3.86344)
e28b1d560656940e1916b9d0c3b85453	-9.50674336025	1.1981028322800011	4.0907691541917925	3.5135687165772125	(-17.036, -1.96584)	(-6.17666, 7.26527)
cd79f35f96e1b7fe7b111478ced7adc3	-5.952396229254991	0.1368391938600001	3.2629377432289157	3.547954438467974	(-11.4138, -0.134882)	(-6.5173, 7.43399)
5ece98c0cac362bb89d0929bf339db77	-9.023801759300015	0.838817694731	3.9076835742823004	3.541730023322734	(-15.9465, -1.81578)	(-5.56151, 7.2937)
2e04c980752c8fc37c462e08582777d3	-5.426262485	-0.38544375836549993	0.3272742072025763	0.4133153011626988	(-6.01292, -4.79919)	(-1.13653, 0.422114)
3da811fabbdd7c3088c29e4731f2bd32	-5.4091145100000055	-0.3846957506930005	0.5144238796948095	0.6381584148347138	(-6.36201, -4.50116)	(-1.67441, 0.731579)
bbb2a3b01d4303ad284bebf5403cbbac	-8.013350345	-0.7343424311384991	0.26154420199601247	0.3616179552890421	(-8.46541, -7.48679)	(-1.46199, -0.0916652)
d608464f5ef271d8612392dc24f6f187	-10.261794341535012	1.1925057736100015	3.809483262488016	3.296011211122915	(-16.3272, -2.30163)	(-5.67174, 6.68183)
bc3944ce7e67c90a57554226d6f96d30	-7.768881153300001	1.451664141343498	3.3129212213340384	3.3040976029734552	(-13.2379, -1.25908)	(-4.8898, 7.62414)
79bedc67f0b243cb3fd97ec87a4ce0df	-8.737748557400016	0.17438145986000012	2.831084014616863	2.911619230218684	(-13.3855, -3.49824)	(-5.80773, 5.1827)
d90a306bb67d75602d9e789894d2c81e	-4.347438260499992	-4.638794030810007	0.889965074282763	1.1486369520291935	(-6.00593, -2.77799)	(-6.94299, -2.58067)
fb52df71394a54d567c86d70ed2514f9	-6.692667822499987	-0.8961715221106512	1.2784543476991537	1.4873516060035195	(-8.68903, -4.15928)	(-3.77382, 1.87835)
7fee9350277038eef98dee70b4190563	-5.2447173625	0.24880171010600033	0.78137546491364	0.9145276916589206	(-6.55804, -3.7697)	(-1.32834, 2.08046)
e4299bd188c438115aa76f0c2cb9419a	-7.01845915000001	-2.392123769999997	1.1187968731828308	1.3143186944690224	(-8.85832, -4.77093)	(-5.16609, -0.135747)
63211e9ef4a523b08680a9377fc4779f	-6.048770964999999	0.2746465564480001	0.9124216203346014	1.0786003823451797	(-7.72834, -4.36214)	(-1.86075, 2.15974)
419f83c90572d8df1a4cf0ac9d95f5f5	-8.102262344854994	-5.432647415449999	1.9109187462709054	3.5432931051534906	(-11.3529, -4.73407)	(-12.5621, 0.942994)
f51397633e0abb45f23ba1f201160fa9	-7.7839530750000065	0.37880803238895017	0.3747765326443139	0.4375943905855532	(-8.43469, -7.02751)	(-0.369509, 1.31424)
1155e5ff3910649a94e2326addf65942	-5.884487460000008	0.13800328095999986	0.875516757294255	1.04089052745327	(-7.28418, -4.19834)	(-1.85234, 1.99857)
27855b55c9784b5f3bafa12b609ae489	-6.467898563299988	-0.48478240663300004	2.285616072074711	2.6374117193857356	(-10.0202, -1.99877)	(-5.30194, 5.27821)
d6e558b2e5e35778926bd1988b0d8170	-8.485234095499994	-4.170038082349498	2.819512341042502	4.101027998168422	(-12.3442, -1.97097)	(-12.1556, 3.77039)
a538fda256b4cae4a5ade4882f8d6e38	-6.810737575000004	-0.15024461798500008	0.7275097280394061	0.8486074824188667	(-8.06638, -5.42366)	(-1.7368, 1.48556)
f03b237847b87c89097cdf5f096bc479	-6.622220989999996	0.8106397756049991	0.6588077726404872	0.7703499628007606	(-7.77319, -5.36024)	(-0.704518, 2.20098)
e4b17cd558b8590655cb6236bf15ac2a	-6.960563088469992	-0.22632592323049974	3.2007312672383534	3.499918098456539	(-12.3473, -1.02928)	(-6.28592, 6.53279)
02d8d87a6342d4b5b391d82e8d56b957	-5.731552670000006	0.13190256574150028	0.5798390268144005	0.7062635170086438	(-6.72665, -4.53405)	(-1.18057, 1.50549)
bd31e6edecaee3eeab08000d447a1439	-5.115840940000007	-0.4087615952149996	0.4389852588460305	0.5307294892848754	(-5.95049, -4.3453)	(-1.39566, 0.589511)
31521431043b638a224abfec559adb87	-7.426460485499999	0.20682958970270007	1.019913235019773	1.1775241963191796	(-9.16696, -5.54177)	(-1.94581, 2.37375)
cc925f743eceb951ff4885ab338c2616	-7.126837844849993	0.04377354609250011	1.4830106043312312	1.7562153633579793	(-9.68119, -4.45108)	(-3.82023, 2.98096)
65bc2b52d9d09bde0d63aadfcffa450f	-12.209067435000009	5.086491090495007	2.2019229074089264	2.2667694263388927	(-16.4239, -8.29921)	(0.858915, 9.44039)
d6f3a6808f1fb78039f2583994b3f739	-7.93023262510001	0.2459938366849999	4.313139569872722	3.8225072829151694	(-15.5104, -0.104944)	(-6.60535, 8.05617)
d8c135a02ecab8cd6a8f2aad6a0d818d	-8.576931574150011	1.1360853234900006	2.8435650150380285	2.882669294234452	(-13.248, -3.08004)	(-4.64077, 6.03964)
c0ed23c557f91e06a4dd4891e6cf396c	-4.831473408499998	-0.6846982354885011	0.7933217871159627	0.966149154216613	(-6.20967, -3.41727)	(-2.44964, 1.13651)
4f0c9444939147ce28f9ad9aec7d6072	-8.914903361900008	0.28631502365300054	4.659016015414246	3.7794650591237087	(-15.7666, 0.777946)	(-7.673, 7.07738)
762104032142c45f4099d7d8136beb7b	-6.501056275500004	-0.6664973632230002	1.1591337761327325	1.3608101001398112	(-8.40405, -4.27291)	(-3.35493, 1.77838)
b1b9ecda6246c693499359589027d8d0	-5.425777866800008	-0.904438865151999	1.336666277949802	1.7603799344516384	(-7.59977, -2.9056)	(-4.19643, 2.43671)
8baa3898ce278f3ac2175daed707d05c	-5.462367728499998	-1.9996154691160009	1.034879652784128	1.297883390679345	(-7.22008, -3.43641)	(-4.74311, 0.215233)
4a1484e60a200f17a7dade4c4c10ba40	-7.83644164784499	0.081513053582	4.4268009155469805	4.023676078104568	(-14.94, 1.19566)	(-7.11421, 8.44092)
61bd53c2c3d58f776ce467483ae37749	-8.324064183180003	-3.802307696702497	3.282295801920338	4.417663573009269	(-13.0902, -1.42453)	(-11.6658, 5.3041)
c9a9e220b2b8de9c076c7dc988ce119f	-9.357481809999976	-0.3110472352039995	1.5183227592004342	1.6903133448892431	(-11.9155, -6.29256)	(-3.62557, 2.73116)
04413eac1a09d22731c8595296390012	-5.054175733715008	-5.651642835670002	1.9971285885230514	4.554636677710464	(-8.24324, -1.12567)	(-14.1107, 3.26607)
c00c83c580e045a0d3ea7e5522c30e83	-6.977325664999994	-0.2863941942889996	0.3232157456969842	0.40024917948732797	(-7.6251, -6.3898)	(-1.01903, 0.461475)
8663bf202f30bb6dae39e0cbc0832191	-7.961378291625006	-3.3483969183885	3.218800844226783	4.413736111991192	(-12.5049, -0.998756)	(-11.5611, 5.14475)
fa20a29ff6175a1161b783b0bf8828e9	-4.310323148510997	-5.663725657350005	2.09250237433575	4.820347518323378	(-7.88839, -0.419771)	(-13.6049, 4.44234)
4b5eeb300368260019c1fbc7a3c718fc	-9.592341641999987	-0.5092970185032009	2.0971624196858434	2.130726611050519	(-12.7239, -5.3122)	(-4.91839, 3.21958)
2a75f0b7741e4b22a9843daf1e4c10a4	-8.758472630850001	-4.057788412744996	3.371556813970875	4.330148465536184	(-13.3939, -2.16891)	(-13.1376, 4.01115)
e7f52adbbed6a9d8e92f71183d087d3c	-5.949574763050006	-5.490012574450007	2.0338803967516386	4.131433407992642	(-9.54411, -2.24389)	(-13.2056, 2.36834)
7f782768e8d3067af0a923af092239d3	-5.907032769999998	-0.9825247559068986	0.30858658755222496	0.37990774343169037	(-6.46791, -5.30488)	(-1.67448, -0.237965)
3539962076aae14222de1be557d43d09	-7.5786611071999905	-3.2545468247399985	3.0283811334602806	4.875517170722368	(-12.1581, -1.52276)	(-12.1844, 6.65849)
694caec8dad781d338acf4a5b69c3058	-6.711279390000008	0.8161901292700012	0.8777068993865363	0.9945412831327481	(-8.2312, -5.07932)	(-1.06111, 2.67151)
01af70af26995f0bb72894c2920a97e6	-9.113709315699998	0.34841762040999996	2.122999526462902	2.282468970577102	(-12.6253, -5.04945)	(-3.93092, 4.84641)
3fb2ce862d743e3d9788332ba6333376	-9.540699901999998	-0.08700142492900025	2.122803649674209	2.287583618497291	(-12.6755, -4.84441)	(-4.83297, 4.08235)
726fe9527294f50f4d2654b3a25730a9	-6.2346592049999945	-1.400931020079999	0.6236836198228377	0.7814965506286172	(-7.28046, -4.97316)	(-2.88496, -0.00215923)
c9c8a632f5b02623ea0e55f92fc543cd	-8.368322606009972	-3.454452241125006	3.1770057337823308	4.40949676454956	(-13.0585, -1.63123)	(-11.4848, 5.29447)
7d9e151e671cbecef0843f2d444108cf	-8.671660683799994	2.150902099245	3.6941146852650526	3.4755421032039786	(-15.3913, -2.01361)	(-4.57785, 8.11692)
8ae9a7813f72789262e9bcada40dabb2	-8.691763509449999	0.8525070572744997	4.020747957331071	3.73823769645774	(-15.3847, -0.468799)	(-5.88396, 7.97132)
6124ce129bdddcbcd6d5d62ad3fba4dd	-7.779045036449984	0.25966056560900047	4.522427366590218	4.030583729549079	(-15.788, 0.430135)	(-6.96366, 8.59913)
