FeatureID	ratio	min	max	Name	cat
2ae4d6fb9a3b5d9b559f26bda87eeb3b	-5.94350512291499	-13.0847	-0.986163	2ae4d6fb9a3b5d9b559f26bda87eeb3b d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	Non_NASH
e4299bd188c438115aa76f0c2cb9419a	-5.55683846399999	-11.3787	-1.15094	e4299bd188c438115aa76f0c2cb9419a d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	Non_NASH
9864817761692baba9d469667121e805	-3.60551100070001	-5.96458	-1.5392	9864817761692baba9d469667121e805 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__TANB77; f__CAG-508; g__CAG-269; s__CAG-269 sp000431335	Non_NASH
2fff156ce55c3a984ed902086d5472e3	-2.99621766545	-5.9383	-0.726274	2fff156ce55c3a984ed902086d5472e3 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	Non_NASH
be65daef90f69cfc35f5bcd8e387d377	-2.650230452255	-5.11114	-0.43329	be65daef90f69cfc35f5bcd8e387d377 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor sp011959105	Non_NASH
7cd21ff6ca065507b48a237f2ace2462	-1.8160227864	-3.12473	-0.594375	7cd21ff6ca065507b48a237f2ace2462 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	Non_NASH
4750b30f8ebd89be7f618b77000b5908	-1.6112253833485	-3.38985	-0.0891315	4750b30f8ebd89be7f618b77000b5908 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3282; s__UBA3282 sp003611805	Non_NASH
ec732ad6f4d2f80391c0652775c07ef0	-1.5212683193	-2.72894	-0.408212	ec732ad6f4d2f80391c0652775c07ef0 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Porcincola; s__	Non_NASH
ab4a8723e7360cd7210a03fa5a8746ab	-1.4249130445	-1.98594	-0.866764	ab4a8723e7360cd7210a03fa5a8746ab d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Merdisoma; s__Merdisoma sp011959465	Non_NASH
21a6c1f6c875ff83464130ad15d89d51	-1.360818903165	-2.03716	-0.594523	21a6c1f6c875ff83464130ad15d89d51 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__Lawsonibacter sp000492175	Non_NASH
4f05d43ba5590d37d0239713f9bc9475	-1.31097942515	-2.17488	-0.461119	4f05d43ba5590d37d0239713f9bc9475 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__CAG-95; s__CAG-95 sp009917455	Non_NASH
fc5b974c574daac4bdd7fa5c979638b3	-1.230601852005	-2.52015	-0.115042	fc5b974c574daac4bdd7fa5c979638b3 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	Non_NASH
a6c1d5c393eaa8b78baddc67c010b5fe	-1.177095848	-2.13786	-0.327546	a6c1d5c393eaa8b78baddc67c010b5fe d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__; s__	Non_NASH
def1282a19a832f3b6670ab0ab9aeb92	-1.10969185542	-2.13915	-0.25333	def1282a19a832f3b6670ab0ab9aeb92 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter; s__Acutalibacter timonensis	Non_NASH
3db08ad717f20fde7085a3e346880d8e	-0.76101593731	-1.57924	-0.0661312	3db08ad717f20fde7085a3e346880d8e d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	Non_NASH
539a09fd38d77c88a4106bfb58700d62	-0.3797720177975	-0.712393	-0.0619255	539a09fd38d77c88a4106bfb58700d62 d__Bacteria; p__Firmicutes_B_370539; c__Dehalobacteriia; o__Dehalobacteriales; f__Dehalobacteriaceae; g__; s__	Non_NASH
3da811fabbdd7c3088c29e4731f2bd32	0.77351984523	0.0948461	1.5524	3da811fabbdd7c3088c29e4731f2bd32 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309	NASH
7da3df619234b604145d1885e0ca6876	0.86918690613	0.0990314	1.60157	7da3df619234b604145d1885e0ca6876 d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculum; s__Muribaculum gordoncarteri	NASH
13e68d6b48a2b9f13b340e5fe0445c95	1.35712186415	0.183148	2.35744	13e68d6b48a2b9f13b340e5fe0445c95 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Emergencia; s__Emergencia sp009935805	NASH
