FeatureID	ratio	min	max	Name	cat
2558	-1.1609735023615	-1.97931	-0.374096	2558 Candidate Trihydroxylated bile acid (delta mass 166.9896; sirius atomic difference: 3C, 5H, 1N, 5O, 1S; buddy atomic difference: 4C, 1H, 5N, 1O, 1S) bile acids	Non_NASH
4021	-1.07020032125	-1.91888	-0.394762	4021 Candidate Tetrahydroxylated bile acid (delta mass -72.044; sirius atomic difference: -8H, -4O; buddy atomic difference: -8H, -4O) unknown	Non_NASH
2343	-1.056459088665	-1.94489	-0.227824	2343 Spectral Match to Urobilin from NIST14 unknown	Non_NASH
1435	-0.953409064254999	-2.04844	-0.00382021	1435 Suspect related to Spectral Match to Cholic acid from NIST14  bile acids	Non_NASH
4209	-0.928643037054999	-1.7698	-0.136122	4209 Candidate Tetrahydroxylated bile acid (delta mass 106.0206; sirius atomic difference: 2C, 6H, 2N, 1O, 1S; buddy atomic difference: 11C, -2H, 4N, -5O) unknown	Non_NASH
4147	-0.834189058629501	-1.42972	-0.327028	4147 Suspect related to 1-Oleoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol)  unknown	Non_NASH
2881	-0.825450162154998	-1.62437	-0.023302	2881 Candidate Tetrahydroxylated bile acid (delta mass 779.2077; sirius atomic difference: 25C, 41H, 13N, 8O, 4S; buddy atomic difference: 54C, 30H, 5N, -2O, 1P, 1S) unknown	Non_NASH
4200	-0.683927772261997	-1.38551	-0.060888	4200 Suspect related to taurohyodeoxycholic acid  bile acids	Non_NASH
809	-0.61608397012	-1.18616	-0.121033	809 Candidate Trihydroxylated bile acid (delta mass 218.999; sirius atomic difference: 6C, 1H, 7N, 1O, 1S; buddy atomic difference: 11C, 1H, 5N, -1O, 1S) unknown	Non_NASH
2775	-0.4057030390175	-0.785317	-0.0545007	2775 Suspect related to Monolinolenin (9c,12c,15c)  unknown	Non_NASH
478	-0.3714533024	-0.706183	-0.0553474	478 Candidate Tetrahydroxylated bile acid (delta mass 185.9778; sirius atomic difference: 6C, -2H, 6N, 1S) bile acids	Non_NASH
2220	-0.354602731200501	-0.695772	-0.0438339	2220 Suspect related to Spectral Match to Monolinolenin (9c,12c,15c) from NIST14  unknown	Non_NASH
423	-0.34716005614	-0.70996	-0.00120453	423 Suspect related to 2-((4R)-4-((5R,7R,8R,9S,10S,12S,13R,17R)-7,12-dihydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid  bile acids	Non_NASH
323	-0.335855985205	-0.571985	-0.0790383	323 Suspect related to (+)-.alpha.-Tocopherol  unknown	Non_NASH
462	-0.330796425785	-0.6305	-0.0727781	462 Suspect related to 2-((4R)-4-((5R,7R,8R,9S,10S,12S,13R,17R)-7,12-dihydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid  unknown	Non_NASH
798	-0.284800604995	-0.558693	-0.0629703	798 Candidate Tetrahydroxylated bile acid (delta mass 134.9815; sirius atomic difference: 3C, 5H, 1N, 1O, 2S; buddy atomic difference: 7C, -3H, 5N, -3O, 1S) bile acids	Non_NASH
367	-0.282778336932	-0.574827	-0.0032344	367 Candidate Tetrahydroxylated bile acid (delta mass 52.9731; buddy atomic difference: 2C, -1H, 1N, -1O, 1S) unknown	Non_NASH
801	-0.2732522437985	-0.508504	-0.0106671	801 Candidate Tetrahydroxylated bile acid (delta mass 152.0094; sirius atomic difference: 3C, 8H, 2N, 1O, 2S; buddy atomic difference: 4C, 4H, 6N, -3O, 2S) bile acids	Non_NASH
366	0.279242832895	0.072002	0.473351	366 Suspect related to Spectral Match to Hexaethylene glycol from NIST14  glycols	NASH
372	0.293658577305	0.00564113	0.582436	372 Candidate Trihydroxylated bile acid (delta mass 73.0351; sirius atomic difference: 3C, 7H, 1N, -1O, 1S; buddy atomic difference: 3C, 7H, 1N, -1O, 1S) bile acids	NASH
608	0.528082314545	0.00322461	1.05337	608 Suspect related to 10,12-Tricosadiynoic acid  fatty acids & other lipids	NASH
1427	0.593161357765	0.0952713	1.17544	1427 Suspect related to Kaurane  bile acids	NASH
2691	0.634249986705499	0.0506586	1.33675	2691 Candidate Tetrahydroxylated bile acid (delta mass -18.0099; sirius atomic difference: -2H, -1O; buddy atomic difference: -2H, -1O; spectral library match to CCMSLIB00005465699, (R)-4-((3R,5R,6R,7R,8R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid) bile acids	NASH
1398	0.651180692450001	0.0405124	1.32094	1398 Massbank:PB006006 Sinapine|2-[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]oxyethyl-trimethylazanium unknown	NASH
1980	0.695383670532499	0.098874	1.33736	1980 Suspect related to 13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid  unknown	NASH
1850	0.727308704160002	0.261148	1.15619	1850 Candidate Trihydroxylated bile acid (delta mass -3.9945; sirius atomic difference: 1C, -1O; buddy atomic difference: 1C, -1O) fatty acids & other lipids	NASH
2971	0.775225956714499	0.0914937	1.50828	2971 Suspect related to Chenodeoxycholic acid  fatty acids & other lipids	NASH
2106	0.8441501450535	0.0180746	1.7312	2106 Suspect related to Timosaponin A-III  unknown	NASH
3087	0.850797191779999	0.0938034	1.5024	3087 Suspect related to Dimethyl azelate  unknown	NASH
731	0.958515720594652	0.153584	1.83968	731 Suspect related to 1-Monolinoleoyl-rac-glycerol  unknown	NASH
