Name	FeatureID	mz	RT	Compound_Name.x	LibraryQualityString	SharedPeaks	LibraryName	MQScore	MassDiff	MZErrorPPM	Adduct	IonMode	mtb_group	ratio	min	max	cred	cat	collection_time	disease_stage
3996 m/z 334.1681951 unknown	3996	334.1681951	5.094775833	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-9.37867386948499	-16.394	-3.44487	credible	Non_NASH	ZT1	Wk 4
3642 m/z 643.3659556 unknown	3642	643.3659556	7.443670984	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-8.368179058095	-15.6423	0.776833	not_credible	Non_NASH	ZT1	Wk 4
4251 m/z 612.2978109 unknown	4251	612.2978109	6.813374496	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-8.19461898702	-15.1972	-0.370194	credible	Non_NASH	ZT1	Wk 4
2385 m/z 408.2573196 bile acids	2385	408.2573196	7.016081479	NA	NA	NA	NA	NA	NA	NA	NA	NA	bile acids	-8.1658759757	-15.3528	-1.01527	credible	Non_NASH	ZT1	Wk 4
3215 m/z 692.3353397 unknown	3215	692.3353397	2.330088753	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-8.08028033618001	-15.0701	1.04251	not_credible	Non_NASH	ZT1	Wk 4
933 m/z 244.0582434 unknown	933	244.0582434	2.75614653	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-7.942407280355	-14.6028	-0.377751	credible	Non_NASH	ZT1	Wk 4
1430 m/z 429.1454881 unknown	1430	429.1454881	2.806031727	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-7.83819918292499	-15.0375	-0.242046	credible	Non_NASH	ZT1	Wk 4
1005 Massbank:FIO00740 Tricin unknown	1005	331.0814015	4.820395815	Massbank:FIO00740 Tricin	Bronze	6	lib-00050.mgf	0.772004	0.000396729	1.19828	M+H	Positive	unknown	-6.874150103745	-15.2501	2.54165	not_credible	Non_NASH	ZT1	Wk 4
4158 m/z 470.2286984 unknown	4158	470.2286984	5.259689002	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-6.593549036865	-14.5839	2.66487	not_credible	Non_NASH	ZT1	Wk 4
4229 m/z 563.3365888 bile acids	4229	563.3365888	5.925192829	NA	NA	NA	NA	NA	NA	NA	NA	NA	bile acids	-6.5404104091735	-14.4582	2.30727	not_credible	Non_NASH	ZT1	Wk 4
3486 m/z 325.0854409 unknown	3486	325.0854409	1.991159505	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-6.440329325845	-15.197	2.38902	not_credible	Non_NASH	ZT1	Wk 4
3900 m/z 747.3773459 unknown	3900	747.3773459	2.304740488	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-6.017400650613	-14.6459	3.39315	not_credible	Non_NASH	ZT1	Wk 4
